DateTime	HardwareType	Cage	Corner	Side	State
2016-04-03 17:16:28.71	0	1	2		0
2016-04-03 17:16:28.73	0	1	3		0
2016-04-03 17:16:28.73	0	1	4		0
2016-04-03 17:16:28.73	1	1	1	1	1
2016-04-03 17:16:28.75	2	1	1	1	0
2016-04-03 17:16:28.75	1	1	1	2	1
2016-04-03 17:16:28.76	2	1	1	2	0
2016-04-03 17:16:28.76	1	1	2	3	1
2016-04-03 17:16:28.78	2	1	2	3	0
2016-04-03 17:16:28.79	1	1	2	4	1
2016-04-03 17:16:28.79	2	1	2	4	0
2016-04-03 17:16:28.79	1	1	3	5	0
2016-04-03 17:16:28.79	2	1	3	5	0
2016-04-03 17:16:28.79	1	1	3	6	0
2016-04-03 17:16:28.79	2	1	3	6	0
2016-04-03 17:16:28.79	1	1	4	7	1
2016-04-03 17:16:28.79	2	1	4	7	0
2016-04-03 17:16:28.79	1	1	4	8	1
2016-04-03 17:16:28.79	2	1	4	8	0
2016-04-03 17:16:28.79	0	1	1		0
2016-04-03 17:16:28.79	0	1	2		0
2016-04-03 17:16:28.81	0	1	3		0
2016-04-03 17:16:28.81	0	1	4		0
2016-04-03 17:16:28.81	1	1	1	1	1
2016-04-03 17:16:28.82	2	1	1	1	0
2016-04-03 17:16:28.85	1	1	1	2	1
2016-04-03 17:16:28.87	2	1	1	2	0
2016-04-03 17:16:28.90	1	1	2	3	1
2016-04-03 17:16:28.92	2	1	2	3	0
2016-04-03 17:16:28.95	1	1	2	4	1
2016-04-03 17:16:28.96	2	1	2	4	0
2016-04-03 17:16:29.00	1	1	3	5	0
2016-04-03 17:16:29.01	2	1	3	5	0
2016-04-03 17:16:29.04	1	1	3	6	0
2016-04-03 17:16:29.06	2	1	3	6	0
2016-04-03 17:16:29.09	1	1	4	7	1
2016-04-03 17:16:29.10	2	1	4	7	0
2016-04-03 17:16:29.12	1	1	4	8	1
2016-04-03 17:16:29.15	2	1	4	8	0
2016-04-03 19:19:11.40	2	1	3	5	96
2016-04-03 19:19:11.43	2	1	3	6	96
2016-04-03 19:19:12.34	1	1	3	5	0
2016-04-03 19:19:13.15	1	1	3	5	1
2016-04-03 19:19:13.40	2	1	3	5	0
2016-04-03 19:19:13.43	2	1	3	6	0
2016-04-03 19:20:29.76	1	1	3	5	1
2016-04-03 19:20:29.78	1	1	3	6	0
2016-04-03 19:20:29.79	2	1	3	5	0
2016-04-03 19:20:29.81	2	1	3	6	0
2016-04-03 19:20:31.12	1	1	3	5	0
2016-04-03 19:23:38.10	2	1	3	5	96
2016-04-03 19:23:38.14	2	1	3	6	96
2016-04-03 19:23:39.34	1	1	3	5	0
2016-04-03 19:23:39.79	1	1	3	5	1
2016-04-03 19:23:40.10	2	1	3	5	0
2016-04-03 19:23:40.12	2	1	3	6	0
2016-04-03 19:25:24.46	1	1	3	5	1
2016-04-03 19:25:24.48	1	1	3	6	0
2016-04-03 19:25:24.50	2	1	3	5	0
2016-04-03 19:25:24.51	2	1	3	6	0
2016-04-03 19:25:25.84	1	1	3	5	0
2016-04-03 19:27:05.15	2	1	3	5	96
2016-04-03 19:27:05.17	2	1	3	6	96
2016-04-03 19:27:05.89	1	1	3	5	0
2016-04-03 19:27:07.17	2	1	3	5	0
2016-04-03 19:27:07.18	2	1	3	6	0
2016-04-03 19:27:07.26	1	1	3	5	1
2016-04-03 19:29:26.25	1	1	3	5	1
2016-04-03 19:29:26.26	1	1	3	6	0
2016-04-03 19:29:26.28	2	1	3	5	0
2016-04-03 19:29:26.29	2	1	3	6	0
2016-04-03 19:29:29.75	1	1	3	5	0
2016-04-03 19:31:52.78	2	1	3	5	96
2016-04-03 19:31:52.79	2	1	3	6	96
2016-04-03 19:31:53.43	1	1	3	5	0
2016-04-03 19:31:54.76	2	1	3	5	0
2016-04-03 19:31:54.78	2	1	3	6	0
2016-04-03 19:31:54.81	1	1	3	5	1
2016-04-03 19:32:23.31	1	1	3	5	1
2016-04-03 19:32:23.34	1	1	3	6	0
2016-04-03 19:32:23.34	2	1	3	5	0
2016-04-03 19:32:23.35	2	1	3	6	0
2016-04-03 19:32:24.68	1	1	3	5	0
2016-04-03 19:34:10.17	2	1	3	5	96
2016-04-03 19:34:10.18	2	1	3	6	96
2016-04-03 19:34:10.75	1	1	3	5	0
2016-04-03 19:34:11.73	1	1	3	5	1
2016-04-03 19:34:12.15	2	1	3	5	0
2016-04-03 19:34:12.17	2	1	3	6	0
2016-04-03 19:34:22.39	1	1	3	5	1
2016-04-03 19:34:22.40	1	1	3	6	0
2016-04-03 19:34:22.42	2	1	3	5	0
2016-04-03 19:34:22.43	2	1	3	6	0
2016-04-03 19:34:25.87	1	1	3	5	0
2016-04-03 19:37:36.67	2	1	3	5	96
2016-04-03 19:37:36.68	2	1	3	6	96
2016-04-03 19:37:37.35	1	1	3	5	0
2016-04-03 19:37:38.65	2	1	3	5	0
2016-04-03 19:37:38.68	2	1	3	6	0
2016-04-03 19:37:38.75	1	1	3	5	1
2016-04-03 19:38:22.76	1	1	3	5	1
2016-04-03 19:38:22.78	1	1	3	6	0
2016-04-03 19:38:22.79	2	1	3	5	0
2016-04-03 19:38:22.81	2	1	3	6	0
2016-04-03 19:38:26.25	1	1	3	5	0
2016-04-03 19:47:19.46	2	1	3	5	96
2016-04-03 19:47:19.48	2	1	3	6	96
2016-04-03 19:47:20.56	1	1	3	5	0
2016-04-03 19:47:21.14	1	1	3	5	1
2016-04-03 19:47:21.45	2	1	3	5	0
2016-04-03 19:47:21.46	2	1	3	6	0
2016-04-03 19:48:17.70	1	1	3	5	1
2016-04-03 19:48:17.71	1	1	3	6	0
2016-04-03 19:48:17.73	2	1	3	5	0
2016-04-03 19:48:17.75	2	1	3	6	0
2016-04-03 19:48:19.07	1	1	3	5	0
2016-04-03 19:48:24.32	2	1	3	5	96
2016-04-03 19:48:24.34	2	1	3	6	96
2016-04-03 19:48:25.15	1	1	3	5	0
2016-04-03 19:48:26.23	1	1	3	5	1
2016-04-03 19:48:26.34	2	1	3	5	0
