DateTime	LogCategory	LogType	Cage	Corner	Side	LogNotes
2016-04-03 17:16:28.68	Info	Application				Session is started
2016-04-03 20:14:26.09	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-03 21:11:21.32	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-04 01:04:45.39	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-04 02:18:30.29	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-04 05:16:28.92	Warning	Animal				2016-04-04 05:16: 98102108119 (Animal 7) did not make any visits during 720 minutes after experiment was started.
2016-04-04 09:37:32.45	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-04 11:05:36.21	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-04 11:08:47.76	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-04 11:08:48.03	Warning	Presence	1	3		Presence signal without antenna registration.
2016-04-04 11:09:56.54	Info	Application				Session is stopped
