VisitID	AnimalTag	Start	End	ModuleName	Cage	Corner	CornerCondition	PlaceError	AntennaNumber	AntennaDuration	PresenceNumber	PresenceDuration	VisitSolution
0	98102254571	2016-04-10 15:47:34.70	2016-04-10 15:47:59.84	Default	1	3	1	0	1	25.140625	1	24.203125	0
1	98102254571	2016-04-10 15:48:12.62	2016-04-10 15:48:53.45	Default	1	3	1	0	2	40.140625	1	39.765625	0
2	98102254571	2016-04-10 15:54:15.59	2016-04-10 15:54:37.40	Default	1	3	1	0	1	21.8125	1	20.984375	0
3	98102254571	2016-04-10 15:54:37.59	2016-04-10 15:54:48.06	Default	1	3	1	0	1	10.46875	1	9.625	0
4	98102254571	2016-04-10 15:54:50.53	2016-04-10 15:54:55.39	Default	1	3	1	0	1	4.859375	1	4.203125	0
5	98102253062	2016-04-10 15:55:32.45	2016-04-10 15:55:49.43	Default	1	3	1	0	1	18.71875	1	15.640625	0
6	98102253062	2016-04-10 15:55:52.34	2016-04-10 15:55:58.98	Default	1	3	1	0	1	8.359375	1	5.0625	0
7	98102254571	2016-04-10 15:57:39.85	2016-04-10 15:57:51.46	Default	1	3	1	0	1	11.609375	1	10.421875	0
8	98102254571	2016-04-10 15:57:51.98	2016-04-10 15:58:10.53	Default	1	3	1	0	1	18.546875	2	17.578125	0
9	98102254571	2016-04-10 15:58:17.09	2016-04-10 15:58:37.42	Default	1	3	1	0	1	20.484375	3	18.15625	0
10	98102254571	2016-04-10 16:00:04.37	2016-04-10 16:01:15.26	Default	1	3	1	0	1	70.890625	1	70.125	0
11	98102254571	2016-04-10 16:01:17.90	2016-04-10 16:01:33.21	Default	1	3	1	0	2	15.171875	1	14.234375	0
12	98102253062	2016-04-10 16:38:03.32	2016-04-10 16:38:26.43	Default	1	3	1	0	1	23.34375	1	21.3125	0
13	98102253062	2016-04-10 16:38:28.21	2016-04-10 16:38:45.31	Default	1	3	1	0	1	17.46875	2	13.859375	0
14	98102254571	2016-04-10 16:40:07.53	2016-04-10 16:40:36.68	Default	1	3	1	0	2	28.828125	1	28.03125	0
15	98102254571	2016-04-10 16:45:25.73	2016-04-10 16:45:44.76	Default	1	3	1	0	1	19.03125	1	18.15625	0
16	98102254571	2016-04-10 16:45:47.96	2016-04-10 16:46:00.98	Default	1	3	1	0	1	13.015625	1	12.203125	0
17	98102254571	2016-04-10 16:46:02.60	2016-04-10 16:46:14.59	Default	1	3	1	0	1	11.984375	1	11.203125	0
18	98102254571	2016-04-10 16:46:15.04	2016-04-10 16:46:20.32	Default	1	3	1	0	1	5.28125	1	3.078125	0
19	98102254571	2016-04-10 16:52:08.87	2016-04-10 16:52:28.34	Default	1	3	1	0	1	19.46875	1	18.75	0
20	98102254571	2016-04-10 16:52:28.71	2016-04-10 16:52:42.25	Default	1	3	1	0	1	13.53125	1	12.703125	0
21	98102253062	2016-04-10 17:24:34.90	2016-04-10 17:24:50.40	Default	1	3	1	0	1	15.828125	1	13.78125	0
22	98102253062	2016-04-10 17:24:54.15	2016-04-10 17:25:05.14	Default	1	3	1	0	1	11.421875	1	9.859375	0
23	98102254571	2016-04-10 17:26:04.76	2016-04-10 17:26:14.81	Default	1	3	1	0	1	10.046875	1	9.75	0
24	98102254571	2016-04-10 17:26:18.68	2016-04-10 17:26:24.46	Default	1	3	1	0	1	5.78125	1	5.265625	0
25	98102253062	2016-04-10 17:27:52.53	2016-04-10 17:28:13.10	Default	1	3	1	0	1	22.828125	1	16.21875	0
26	98102254571	2016-04-10 17:30:40.57	2016-04-10 17:30:52.46	Default	1	3	1	0	1	11.765625	1	12.15625	0
27	98102254571	2016-04-10 17:30:53.31	2016-04-10 17:31:00.78	Default	1	3	1	0	1	7.46875	1	7.5	0
28	98102253062	2016-04-10 18:18:49.06	2016-04-10 18:18:54.45	Default	1	3	1	0	1	5.765625	1	4.40625	0
29	98102254571	2016-04-10 18:18:59.34	2016-04-10 18:19:03.26	Default	1	3	1	0	1	3.921875	1	3.8125	0
30	98102253062	2016-04-10 18:47:15.89	2016-04-10 18:47:28.00	Default	1	3	1	0	1	12.59375	1	10.734375	0
31	98102254571	2016-04-10 18:48:02.62	2016-04-10 18:48:09.04	Default	1	3	1	0	1	6.421875	1	5.84375	0
32	98102254571	2016-04-10 18:48:09.50	2016-04-10 18:48:14.04	Default	1	3	1	0	1	4.390625	1	4.765625	0
33	98102253062	2016-04-10 18:59:34.20	2016-04-10 18:59:44.90	Default	1	3	1	0	1	11.0625	1	9.484375	0
34	98102254571	2016-04-10 19:12:45.93	2016-04-10 19:13:17.10	Module 1	1	3	1	0	1	31.171875	1	30.5625	0
35	98102254571	2016-04-10 19:13:19.17	2016-04-10 19:13:59.09	Module 1	1	3	1	0	2	39.734375	1	39.40625	0
36	98102254571	2016-04-10 19:21:10.26	2016-04-10 19:21:28.81	Module 1	1	3	1	0	1	18.546875	1	17.90625	0
37	98102254571	2016-04-10 19:21:29.54	2016-04-10 19:21:36.09	Module 2	1	3	1	0	1	6.546875	1	6.296875	0
38	98102254571	2016-04-10 19:21:36.95	2016-04-10 19:21:58.85	Module 2	1	3	1	0	1	21.90625	1	21.640625	0
39	98102254571	2016-04-10 19:22:03.29	2016-04-10 19:22:15.71	Module 2	1	3	1	0	1	12.421875	1	11.8125	0
40	98102253062	2016-04-10 19:26:11.46	2016-04-10 19:26:26.37	Module 1	1	3	1	0	2	15.1875	1	14.546875	0
41	98102254571	2016-04-10 19:26:29.43	2016-04-10 19:26:47.65	Module 1	1	3	1	0	1	18.21875	1	18.03125	0
42	98102254571	2016-04-10 19:26:50.04	2016-04-10 19:27:17.34	Module 2	1	3	1	0	1	27.296875	1	27.015625	0
43	98102254571	2016-04-10 19:27:19.09	2016-04-10 19:27:35.96	Module 1	1	3	1	0	1	16.875	1	16.515625	0
44	98102253062	2016-04-10 19:34:41.82	2016-04-10 19:35:14.54	Module 2	1	3	1	0	1	33.59375	1	31.4375	0
45	98102254571	2016-04-10 19:35:56.87	2016-04-10 19:36:16.73	Module 1	1	3	1	0	1	19.859375	1	19.21875	0
46	98102254571	2016-04-10 19:36:17.57	2016-04-10 19:36:25.20	Module 2	1	3	1	0	1	7.625	1	7.296875	0
47	98102254571	2016-04-10 19:41:06.37	2016-04-10 19:41:20.60	Module 3	1	3	1	0	1	14.234375	1	14.125	0
48	98102254571	2016-04-10 19:43:51.73	2016-04-10 19:44:15.75	Module 2	1	3	1	0	2	23.421875	0	0	3
49	98102253062	2016-04-10 19:44:15.75	2016-04-10 19:44:16.43	Module 1	1	3	1	0	1	0.6875	0	0	3
50	98102254571	2016-04-10 19:44:16.43	2016-04-10 19:44:21.45	Module 3	1	3	1	0	1	5.015625	2	28.46875	0
51	98102253062	2016-04-10 19:44:24.29	2016-04-10 19:44:35.67	Module 3	1	3	1	0	1	12.09375	1	10.390625	0
52	98102254571	2016-04-10 19:50:51.01	2016-04-10 19:50:52.21	Module 1	1	3	1	0	1	1.203125	1	1.546875	0
53	98102254571	2016-04-10 19:50:54.85	2016-04-10 19:51:08.00	Module 3	1	3	1	0	1	13.140625	1	13.109375	0
54	98102253062	2016-04-10 19:56:05.34	2016-04-10 19:56:15.98	Module 2	1	3	1	0	1	11.375	1	9.234375	0
55	98102254571	2016-04-10 19:59:33.76	2016-04-10 20:00:00.84	Module 1	1	3	1	0	1	27.078125	1	26.984375	0
56	98102254571	2016-04-10 20:00:13.87	2016-04-10 20:00:35.09	Module 1	1	3	1	0	1	21.21875	1	20.921875	0
57	98102253062	2016-04-10 20:00:44.32	2016-04-10 20:00:57.17	Module 1	1	3	1	0	1	13.609375	1	10.765625	0
58	98102254571	2016-04-10 20:10:11.51	2016-04-10 20:10:25.65	Module 2	1	3	1	0	1	14.140625	1	13.703125	0
59	98102254571	2016-04-10 20:10:26.95	2016-04-10 20:10:53.23	Module 1	1	3	1	0	2	25.0625	1	26.515625	0
60	98102254571	2016-04-10 20:11:01.26	2016-04-10 20:11:11.57	Module 2	1	3	1	0	1	10.3125	1	9.75	0
61	98102253062	2016-04-10 20:14:56.62	2016-04-10 20:15:14.18	Module 2	1	3	1	0	1	18.15625	1	16.3125	0
62	98102254571	2016-04-10 20:25:44.59	2016-04-10 20:26:01.56	Module 3	1	3	1	0	1	16.96875	1	16.625	0
63	98102254571	2016-04-10 20:26:06.25	2016-04-10 20:26:18.98	Module 3	1	3	1	0	1	12.65625	2	12.484375	0
64	98102254571	2016-04-10 20:26:19.64	2016-04-10 20:26:29.57	Module 1	1	3	1	0	1	9.9375	1	9.71875	0
65	98102254571	2016-04-10 20:26:37.60	2016-04-10 20:26:47.67	Module 1	1	3	1	0	1	10.0625	1	9.578125	0
66	98102254571	2016-04-10 20:26:54.65	2016-04-10 20:27:06.21	Module 2	1	3	1	0	1	11.5625	1	11.109375	0
67	98102254571	2016-04-10 20:36:30.45	2016-04-10 20:36:43.51	Module 1	1	3	1	0	1	13.0625	1	12.765625	0
68	98102254571	2016-04-10 20:36:56.15	2016-04-10 20:37:13.93	Module 1	1	3	1	0	1	17.78125	1	17.21875	0
69	98102254571	2016-04-10 20:37:15.01	2016-04-10 20:37:24.56	Module 1	1	3	1	0	1	9.546875	1	9.046875	0
70	98102253062	2016-04-10 20:56:11.18	2016-04-10 20:56:42.21	Module 1	1	3	1	0	1	31.359375	1	29.71875	0
71	98102253062	2016-04-10 20:56:45.75	2016-04-10 20:56:58.50	Module 1	1	3	1	0	1	13.515625	1	11.5625	0
