VisitID	Start	End	Side	SideCondition	SideError	TimeError	ConditionError	LickNumber	LickContactTime	LickDuration	AirState	DoorState	LED1State	LED2State	LED3State
0	2016-03-31 15:57:45.15	2016-03-31 15:57:45.15	5	1	0	0	0	0	0	0	0	0	0	0	0
0	2016-03-31 15:57:45.15	2016-03-31 15:57:45.15	6	-1	1	0	0	0	0	0	0	0	0	0	0
0	2016-03-31 15:57:45.15	2016-03-31 15:57:45.15	5	1	0	0	0	0	0	0	0	0	0	0	0
2	2016-03-31 16:00:30.15	2016-03-31 16:00:32.43	5	1	0	0	0	0	0	0	0	0	0	0	0
2	2016-03-31 16:00:32.70	2016-03-31 16:00:33.15	5	1	0	0	0	0	0	0	0	0	0	0	0
2	2016-03-31 16:00:35.82	2016-03-31 16:00:35.89	6	-1	1	0	0	0	0	0	0	0	0	0	0
2	2016-03-31 16:00:35.95	2016-03-31 16:00:36.35	6	-1	1	0	0	0	0	0	0	0	0	0	0
2	2016-03-31 16:00:36.67	2016-03-31 16:00:36.68	5	1	0	0	0	0	0	0	0	0	0	0	0
3	2016-03-31 16:25:11.12	2016-03-31 16:25:11.75	5	1	0	0	0	0	0	0	0	0	0	0	0
3	2016-03-31 16:25:11.78	2016-03-31 16:25:13.26	5	1	0	0	0	0	0	0	0	0	0	0	0
3	2016-03-31 16:25:15.57	2016-03-31 16:25:15.93	6	-1	1	0	0	0	0	0	0	0	0	0	0
3	2016-03-31 16:25:15.98	2016-03-31 16:25:16.15	6	-1	1	0	0	0	0	0	0	0	0	0	0
3	2016-03-31 16:25:16.89	2016-03-31 16:25:16.93	5	1	0	0	0	0	0	0	0	0	0	0	0
4	2016-03-31 17:42:00.95	2016-03-31 17:42:01.40	5	1	0	0	0	0	0	0	0	0	0	0	0
4	2016-03-31 17:42:03.76	2016-03-31 17:42:03.98	5	1	0	0	0	0	0	0	0	0	0	0	0
4	2016-03-31 17:42:09.65	2016-03-31 17:42:10.34	5	1	0	0	0	0	0	0	0	0	0	0	0
5	2016-03-31 17:43:25.31	2016-03-31 17:43:28.01	5	1	0	0	0	0	0	0	0	0	0	0	0
6	2016-03-31 17:48:53.40	2016-03-31 17:48:53.46	5	1	0	0	0	0	0	0	0	0	0	0	0
6	2016-03-31 17:48:53.87	2016-03-31 17:48:54.53	5	1	0	0	0	0	0	0	0	0	0	0	0
7	2016-03-31 17:49:33.79	2016-03-31 17:49:35.53	5	1	0	0	0	0	0	0	0	0	0	0	0
7	2016-03-31 17:49:35.96	2016-03-31 17:49:36.42	5	1	0	0	0	0	0	0	0	0	0	0	0
8	2016-03-31 17:49:38.20	2016-03-31 17:49:38.84	6	-1	1	0	0	0	0	0	0	0	0	0	0
8	2016-03-31 17:49:39.06	2016-03-31 17:49:39.29	5	1	0	0	0	0	0	0	0	0	0	0	0
12	2016-03-31 17:49:55.12	2016-03-31 17:49:56.34	5	1	0	0	0	0	0	0	0	0	0	0	0
12	2016-03-31 17:50:02.45	2016-03-31 17:50:02.64	6	-1	1	0	0	0	0	0	0	0	0	0	0
12	2016-03-31 17:50:02.73	2016-03-31 17:50:02.78	5	1	0	0	0	0	0	0	0	0	0	0	0
12	2016-03-31 17:50:03.00	2016-03-31 17:50:03.21	6	-1	1	0	0	0	0	0	0	0	0	0	0
13	2016-03-31 17:56:55.04	2016-03-31 17:56:55.43	5	1	0	0	0	0	0	0	0	0	0	0	0
13	2016-03-31 17:56:55.65	2016-03-31 17:56:56.96	5	1	0	0	0	0	0	0	0	0	0	0	0
13	2016-03-31 17:56:57.17	2016-03-31 17:56:58.14	5	1	0	0	0	0	0	0	0	0	0	0	0
14	2016-03-31 18:04:48.81	2016-03-31 18:04:50.95	5	1	0	0	0	0	0	0	0	0	0	0	0
15	2016-03-31 19:05:18.67	2016-03-31 19:05:25.81	5	1	0	0	0	21	0.368	1.8125	0	0	0	0	0
15	2016-03-31 19:05:26.95	2016-03-31 19:05:33.65	5	1	0	0	0	10	0.178	0.921875	0	0	0	0	0
15	2016-03-31 19:05:35.26	2016-03-31 19:05:41.84	5	1	0	0	0	16	0.266	1.375	0	0	0	0	0
15	2016-03-31 19:05:41.89	2016-03-31 19:05:48.07	5	1	0	0	0	19	0.326	1.71875	0	0	0	0	0
15	2016-03-31 19:05:49.43	2016-03-31 19:05:55.70	5	1	0	0	0	10	0.178	0.953125	0	0	0	0	0
15	2016-03-31 19:05:55.73	2016-03-31 19:05:55.75	5	1	0	0	0	0	0	0	0	0	0	0	0
15	2016-03-31 19:05:58.07	2016-03-31 19:06:04.37	5	1	0	0	0	17	0.324	1.609375	0	0	0	0	0
15	2016-03-31 19:06:04.40	2016-03-31 19:06:10.42	5	1	0	0	0	7	0.119	0.671875	0	0	0	0	0
15	2016-03-31 19:06:12.71	2016-03-31 19:06:18.25	5	1	0	0	0	7	0.105	0.609375	0	0	0	0	0
15	2016-03-31 19:06:20.14	2016-03-31 19:06:26.28	5	1	0	0	0	28	0.487	2.609375	0	0	0	0	0
15	2016-03-31 19:06:27.46	2016-03-31 19:06:33.67	5	1	0	0	0	14	0.277	1.265625	0	0	0	0	0
15	2016-03-31 19:06:35.45	2016-03-31 19:06:41.89	5	1	0	0	0	13	0.232	1.03125	0	0	0	0	0
15	2016-03-31 19:06:42.56	2016-03-31 19:06:48.81	5	1	0	0	0	17	0.352	1.546875	0	0	0	0	0
15	2016-03-31 19:06:51.71	2016-03-31 19:07:00.26	5	1	0	0	0	16	0.403	1.375	0	0	0	0	0
15	2016-03-31 19:07:01.56	2016-03-31 19:07:07.93	5	1	0	0	0	12	0.236	1.09375	0	0	0	0	0
15	2016-03-31 19:07:08.35	2016-03-31 19:07:08.54	5	1	0	0	0	0	0	0	0	0	0	0	0
15	2016-03-31 19:07:13.03	2016-03-31 19:07:19.31	5	1	0	0	0	32	0.599	2.671875	0	0	0	0	0
16	2016-03-31 19:13:34.39	2016-03-31 19:13:34.51	5	1	0	0	0	0	0	0	0	0	0	0	0
16	2016-03-31 19:13:34.96	2016-03-31 19:13:40.95	5	1	0	0	0	11	0.34	1.09375	0	0	0	0	0
16	2016-03-31 19:13:42.78	2016-03-31 19:13:48.78	5	1	0	0	0	12	0.278	1.140625	0	0	0	0	0
16	2016-03-31 19:13:52.35	2016-03-31 19:13:58.29	5	1	0	0	0	9	0.218	0.796875	0	0	0	0	0
16	2016-03-31 19:14:02.42	2016-03-31 19:14:08.42	5	1	0	0	0	6	0.37	0.8125	0	0	0	0	0
16	2016-03-31 19:14:10.18	2016-03-31 19:14:15.56	5	1	0	0	0	13	0.405	1.453125	0	0	0	0	0
16	2016-03-31 19:14:17.21	2016-03-31 19:14:22.87	5	1	0	0	0	2	0.1	0.234375	0	0	0	0	0
16	2016-03-31 19:14:27.25	2016-03-31 19:14:27.29	6	-1	1	0	0	0	0	0	0	0	0	0	0
16	2016-03-31 19:14:27.39	2016-03-31 19:14:27.50	6	-1	1	0	0	0	0	0	0	0	0	0	0
16	2016-03-31 19:14:27.89	2016-03-31 19:14:27.93	5	1	0	0	0	0	0	0	0	0	0	0	0
17	2016-03-31 19:14:49.35	2016-03-31 19:14:51.17	5	1	0	0	0	0	0	0	0	0	0	0	0
18	2016-03-31 19:15:21.73	2016-03-31 19:15:27.29	5	1	0	0	0	15	0.348	1.375	0	0	0	0	0
18	2016-03-31 19:15:31.96	2016-03-31 19:15:37.93	5	1	0	0	0	21	0.703	2.21875	0	0	0	0	0
18	2016-03-31 19:15:44.95	2016-03-31 19:15:50.81	5	1	0	0	0	33	1.237	3.328125	0	0	0	0	0
18	2016-03-31 19:15:50.84	2016-03-31 19:15:50.92	5	1	0	0	0	0	0	0	0	0	0	0	0
18	2016-03-31 19:15:53.59	2016-03-31 19:15:59.35	5	1	0	0	0	32	0.979	3.125	0	0	0	0	0
18	2016-03-31 19:16:03.57	2016-03-31 19:16:09.45	5	1	0	0	0	33	1.916	3.921875	0	0	0	0	0
18	2016-03-31 19:16:15.03	2016-03-31 19:16:21.03	5	1	0	0	0	29	1.209	2.984375	0	0	0	0	0
18	2016-03-31 19:16:21.10	2016-03-31 19:16:21.15	5	1	0	0	0	0	0	0	0	0	0	0	0
18	2016-03-31 19:16:25.21	2016-03-31 19:16:31.00	5	1	0	0	0	34	1.192	3.65625	0	0	0	0	0
18	2016-03-31 19:16:39.64	2016-03-31 19:16:45.68	5	1	0	0	0	34	2.12	4.21875	0	0	0	0	0
