VisitID	AnimalTag	Start	End	ModuleName	Cage	Corner	CornerCondition	PlaceError	AntennaNumber	AntennaDuration	PresenceNumber	PresenceDuration	VisitSolution
0	98102254571	2016-03-31 15:57:45.15	2016-03-31 15:57:46.21	Default	1	3	1	0	2	1.0625	1	0	0
1	98102253062	2016-03-31 16:00:11.90	2016-03-31 16:00:14.37	Default	1	3	1	0	1	2.765625	1	0.859375	0
2	98102253062	2016-03-31 16:00:29.53	2016-03-31 16:00:41.56	Default	1	3	1	0	1	12.359375	1	11.390625	0
3	98102254571	2016-03-31 16:25:10.26	2016-03-31 16:25:18.57	Default	1	3	1	0	2	7.984375	1	8.125	0
4	98102254571	2016-03-31 17:41:59.70	2016-03-31 17:42:15.46	Default	1	3	1	0	1	15.921875	1	13.53125	0
5	98102253062	2016-03-31 17:43:24.62	2016-03-31 17:43:31.65	Default	1	3	1	0	1	7.3125	1	5.984375	0
6	98102253062	2016-03-31 17:48:53.12	2016-03-31 17:48:56.67	Default	1	3	1	0	1	3.84375	1	2.546875	0
7	98102254571	2016-03-31 17:49:27.28	2016-03-31 17:49:37.67	Default	1	3	1	0	1	10.4375	0	0	3
8	98102253062	2016-03-31 17:49:37.67	2016-03-31 17:49:40.92	Default	1	3	1	0	1	3.25	0	0	3
9	98102254571	2016-03-31 17:49:40.92	2016-03-31 17:49:44.96	Default	1	3	1	0	1	1.59375	0	0	3
10	98102253062	2016-03-31 17:49:44.96	2016-03-31 17:49:46.85	Default	1	3	1	0	1	1.28125	0	0	3
11	98102254571	2016-03-31 17:49:46.85	2016-03-31 17:49:49.81	Default	1	3	1	0	1	2.953125	1	22.390625	0
12	98102253062	2016-03-31 17:49:50.89	2016-03-31 17:50:12.26	Default	1	3	1	0	1	22.453125	1	20.5625	0
13	98102253062	2016-03-31 17:56:54.79	2016-03-31 17:56:59.46	Default	1	3	1	0	1	4.859375	1	3.578125	0
14	98102253062	2016-03-31 18:04:48.23	2016-03-31 18:04:53.53	Default	1	3	1	0	1	5.4375	1	3.65625	0
15	98102254571	2016-03-31 19:05:17.29	2016-03-31 19:07:21.57	Module 1	1	3	1	0	1	123.765625	1	124.28125	0
16	98102108119	2016-03-31 19:13:31.54	2016-03-31 19:14:31.75	Module 1	1	3	1	0	1	60.5	1	59.296875	0
17	98102254571	2016-03-31 19:14:48.14	2016-03-31 19:14:56.59	Module 1	1	3	1	0	1	8.515625	1	7.5625	0
18	98102253062	2016-03-31 19:15:20.56	2016-03-31 19:17:01.34	Module 1	1	3	1	0	1	101.265625	1	99.65625	0
19	98102254571	2016-03-31 19:19:48.92	2016-03-31 19:20:46.84	Module 1	1	3	1	0	1	57.78125	1	57.921875	0
20	98102253062	2016-03-31 19:21:45.10	2016-03-31 19:22:10.01	Module 1	1	3	1	0	1	25.203125	1	23.828125	0
21	98102253062	2016-03-31 19:23:29.85	2016-03-31 19:23:48.96	Module 1	1	3	1	0	1	19.390625	1	17.921875	0
22	98102108119	2016-03-31 19:25:58.26	2016-03-31 19:26:50.79	Module 1	1	3	1	0	1	53.125	1	51.671875	0
23	98102253062	2016-03-31 19:29:11.43	2016-03-31 19:29:34.07	Module 1	1	3	1	0	1	22.953125	1	21.4375	0
24	98102254571	2016-03-31 19:31:15.62	2016-03-31 19:31:40.25	Module 1	1	3	1	0	1	24.640625	1	23.765625	0
25	98102254571	2016-03-31 19:34:42.20	2016-03-31 19:35:02.23	Module 1	1	3	1	0	1	20.09375	1	19.234375	0
26	98102253062	2016-03-31 19:37:32.96	2016-03-31 19:37:56.65	Module 1	1	3	1	0	1	23.875	1	22.40625	0
27	98102254571	2016-03-31 19:44:34.31	2016-03-31 19:44:39.03	Module 1	1	3	1	0	1	4.71875	1	3.796875	0
28	98102254571	2016-03-31 19:49:24.98	2016-03-31 19:49:56.42	Module 1	1	3	1	0	1	31.4375	1	30.640625	0
29	98102254571	2016-03-31 19:52:54.25	2016-03-31 19:53:32.45	Module 1	1	3	1	0	3	38.203125	0	0	3
30	98102253062	2016-03-31 19:53:32.45	2016-03-31 19:54:06.68	Module 1	1	3	1	0	1	34.234375	2	70.78125	0
31	98102253062	2016-03-31 19:54:10.34	2016-03-31 19:54:24.31	Module 1	1	3	1	0	1	14.265625	2	12.546875	0
32	98102254571	2016-03-31 19:54:35.54	2016-03-31 19:54:47.21	Module 1	1	3	1	0	1	11.6875	1	9.71875	0
33	98102108119	2016-03-31 19:55:28.45	2016-03-31 19:57:05.75	Module 1	1	3	1	0	2	97.34375	1	96.53125	0
34	98102253062	2016-03-31 19:57:16.26	2016-03-31 19:57:34.25	Module 1	1	3	1	0	1	18.140625	1	17.109375	0
35	98102254571	2016-03-31 19:58:20.26	2016-03-31 19:58:32.85	Module 1	1	3	1	0	1	12.59375	1	11.671875	0
36	98102253062	2016-03-31 20:00:45.32	2016-03-31 20:01:08.53	Module 1	1	3	1	0	1	23.390625	1	22.546875	0
37	98102254571	2016-03-31 20:01:30.81	2016-03-31 20:01:42.39	Module 1	1	3	1	0	1	11.59375	1	10.765625	0
38	98102254571	2016-03-31 20:01:44.67	2016-03-31 20:01:54.81	Module 1	1	3	1	0	1	10.140625	1	8.328125	0
39	98102108119	2016-03-31 20:07:51.76	2016-03-31 20:08:47.76	Module 1	1	3	1	0	1	56.21875	1	55.09375	0
40	98102253062	2016-03-31 20:09:05.32	2016-03-31 20:09:37.67	Module 1	1	3	1	0	1	32.6875	1	31.28125	0
41	98102254571	2016-03-31 20:11:31.62	2016-03-31 20:11:57.62	Module 1	1	3	1	0	1	26	1	24.140625	0
42	98102253062	2016-03-31 20:16:22.70	2016-03-31 20:16:44.54	Module 1	1	3	1	0	1	21.96875	1	20.703125	0
43	98102254571	2016-03-31 20:18:30.15	2016-03-31 20:18:32.56	Module 1	1	3	1	0	1	2.484375	1	1.484375	0
44	98102253062	2016-03-31 20:18:42.31	2016-03-31 20:19:39.87	Module 1	1	3	1	0	1	57.78125	1	56.8125	0
45	98102108119	2016-03-31 20:20:47.95	2016-03-31 20:21:24.65	Module 1	1	3	1	0	1	36.96875	1	35.859375	0
46	98102254571	2016-03-31 20:22:33.64	2016-03-31 20:22:36.10	Module 1	1	3	1	0	1	2.484375	1	0.609375	0
47	98102254571	2016-03-31 20:24:25.68	2016-03-31 20:24:50.46	Module 1	1	3	1	0	1	24.921875	1	23.828125	0
