VisitID	AnimalTag	Start	End	ModuleName	Cage	Corner	CornerCondition	PlaceError	AntennaNumber	AntennaDuration	PresenceNumber	PresenceDuration	VisitSolution
0	98102108119	2016-04-01 17:05:20.57	2016-04-01 17:05:36.95	Default	1	3	1	0	1	16.640625	1	15.40625	0
1	98102108119	2016-04-01 17:05:38.21	2016-04-01 17:05:55.07	Default	1	3	1	0	2	14.78125	1	16.859375	0
2	98102254571	2016-04-01 17:06:10.81	2016-04-01 17:06:35.70	Default	1	3	1	0	1	24.890625	1	23.953125	0
3	98102254571	2016-04-01 17:06:35.92	2016-04-01 17:06:55.45	Default	1	3	1	0	1	19.578125	1	16.09375	0
4	98102254571	2016-04-01 17:26:13.43	2016-04-01 17:26:15.90	Default	1	3	1	0	1	2.53125	1	1.484375	0
5	98102254571	2016-04-01 17:27:19.98	2016-04-01 17:27:28.29	Default	1	3	1	0	1	8.46875	1	7.375	0
6	98102254571	2016-04-01 17:31:31.50	2016-04-01 17:31:36.20	Default	1	3	1	0	1	4.875	1	3.265625	0
7	98102253062	2016-04-01 18:25:23.45	2016-04-01 18:25:48.87	Default	1	3	1	0	1	25.703125	1	24.796875	0
8	98102108119	2016-04-01 18:27:09.68	2016-04-01 18:27:20.60	Default	1	3	1	0	1	11.171875	1	9.15625	0
9	98102108119	2016-04-01 18:27:21.01	2016-04-01 18:27:25.92	Default	1	3	1	0	1	5.15625	1	3.28125	0
10	98102254571	2016-04-01 19:06:54.04	2016-04-01 19:07:01.93	Module 3	1	3	1	0	1	8.234375	1	6.109375	0
11	98102254571	2016-04-01 19:09:47.78	2016-04-01 19:09:57.04	Module 1	1	3	1	0	1	9.3125	1	7.265625	0
12	98102254571	2016-04-01 19:11:38.37	2016-04-01 19:11:43.39	Module 2	1	3	1	0	1	5.03125	1	3.640625	0
13	98102108119	2016-04-01 19:12:02.31	2016-04-01 19:12:15.89	Module 2	1	3	1	0	2	13.34375	1	12.734375	0
14	98102108119	2016-04-01 19:12:21.96	2016-04-01 19:12:26.71	Module 3	1	3	1	0	3	5.65625	0	0	3
15	98102253062	2016-04-01 19:12:26.71	2016-04-01 19:12:30.17	Module 2	1	3	1	0	1	3.296875	0	0	3
16	98102108119	2016-04-01 19:12:30.17	2016-04-01 19:12:31.68	Module 2	1	3	1	0	1	1.515625	0	0	3
17	98102253062	2016-04-01 19:12:31.68	2016-04-01 19:12:33.03	Module 1	1	3	1	0	2	1.328125	0	0	3
18	98102108119	2016-04-01 19:12:33.03	2016-04-01 19:12:34.18	Module 1	1	3	1	0	1	1.15625	1	12.046875	0
