VisitID	AnimalTag	Start	End	ModuleName	Cage	Corner	CornerCondition	PlaceError	AntennaNumber	AntennaDuration	PresenceNumber	PresenceDuration	VisitSolution
0	98102254571	2016-03-30 17:28:20.20	2016-03-30 17:28:37.12	Default	1	3	1	0	1	16.953125	1	14.875	0
1	98102253062	2016-03-30 18:34:11.95	2016-03-30 18:34:16.67	Default	1	3	1	0	1	5.5	1	3.484375	0
2	98102253062	2016-03-30 18:43:53.14	2016-03-30 18:44:36.14	Default	1	3	1	0	3	38.015625	1	42.375	0
3	98102253062	2016-03-30 18:44:55.59	2016-03-30 18:45:00.03	Default	1	3	1	0	1	4.78125	1	3.4375	0
4	98102253062	2016-03-30 18:45:04.67	2016-03-30 18:45:31.79	Default	1	3	1	0	1	27.421875	1	26.09375	0
5	98102253062	2016-03-30 18:48:07.01	2016-03-30 18:49:15.20	Default	1	3	1	0	3	67.40625	3	67.171875	0
6	98102253062	2016-03-30 18:49:16.17	2016-03-30 18:49:33.04	Default	1	3	1	0	2	16.96875	1	16.875	0
7	98102254571	2016-03-30 18:50:44.73	2016-03-30 18:51:18.59	Default	1	3	1	0	1	34	1	32.921875	0
8	98102253062	2016-03-30 18:57:18.76	2016-03-30 18:57:24.35	Default	1	3	1	0	1	5.71875	1	4	0
9	98102254571	2016-03-30 18:58:57.76	2016-03-30 18:59:03.48	Default	1	3	1	0	1	5.78125	1	4.75	0
10	98102253062	2016-03-30 19:03:40.29	2016-03-30 19:04:20.23	Module 1	1	3	1	0	1	40.609375	1	38.703125	0
11	98102254571	2016-03-30 19:07:34.43	2016-03-30 19:07:58.76	Module 1	1	3	1	0	1	24.40625	1	23.421875	0
12	98102108119	2016-03-30 19:11:23.00	2016-03-30 19:11:35.75	Module 1	1	3	1	0	1	13.53125	1	11.890625	0
13	98102253062	2016-03-30 19:12:14.73	2016-03-30 19:12:43.87	Module 1	1	3	1	0	1	29.28125	1	27.328125	0
14	98102254571	2016-03-30 19:20:15.67	2016-03-30 19:20:37.00	Module 1	1	3	1	0	1	21.359375	1	20.4375	0
15	98102254571	2016-03-30 19:24:44.39	2016-03-30 19:24:48.73	Module 1	1	3	1	0	1	4.625	1	3.390625	0
16	98102254571	2016-03-30 19:30:01.18	2016-03-30 19:30:04.54	Module 1	1	3	1	0	1	3.4375	1	2.421875	0
