DateTime	LogCategory	LogType	Cage	Corner	Side	LogNotes
2015-02-15 09:43:53.39	Info	Application				Session is started
2015-02-15 10:49:26.26	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-15 11:32:58.01	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-15 11:59:31.76	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-15 11:59:32.00	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-15 12:26:36.32	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-15 13:24:16.01	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-15 13:24:29.64	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-15 15:52:14.73	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-15 21:43:54.53	Warning	Animal				2015-02-15 21:43: 98102108473 (Animal 18) did not make any visits during 720 minutes after experiment was started.
2015-02-15 23:05:29.73	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-16 01:26:25.35	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-16 01:29:19.87	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-16 06:40:30.37	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-16 07:49:33.84	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-16 08:15:41.23	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-16 08:16:27.37	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-16 09:00:04.60	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-16 09:00:14.37	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2015-02-16 09:08:23.56	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2015-02-16 09:35:14.78	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-16 09:54:34.87	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-16 10:12:03.21	Warning	Lickometer	1	3	5	Lickometer is active but nosepoke is inactive
2015-02-16 12:00:23.62	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-16 12:01:28.07	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-16 21:02:45.20	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-16 22:48:23.45	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-17 00:18:00.26	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-17 03:13:56.57	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-17 03:23:34.29	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-17 08:31:09.71	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-17 08:42:50.00	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-17 09:59:48.67	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-17 10:27:07.71	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-17 10:32:19.39	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-17 10:48:25.93	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-17 10:48:46.12	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-17 10:49:08.17	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-17 12:04:18.71	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-17 12:33:44.64	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-17 19:41:46.87	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-17 19:54:38.75	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-18 00:02:23.67	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-18 00:02:23.93	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-18 00:37:09.56	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-18 01:29:21.35	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-18 01:29:30.20	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-18 01:30:14.43	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-18 01:31:01.87	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-18 01:37:40.70	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-18 01:44:10.01	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-18 03:25:51.54	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-18 08:54:03.48	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-18 11:17:01.68	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-18 11:56:36.96	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-18 11:56:59.51	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-18 11:57:10.00	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-18 12:10:55.84	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-18 12:11:42.45	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-18 12:19:40.81	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-18 12:28:30.51	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-18 12:36:10.59	Warning	Presence	1	3		Presence signal without antenna registration.
2015-02-18 19:16:03.54	Info	Application				Session is stopped
