VisitID	Start	End	Side	SideCondition	SideError	TimeError	ConditionError	LickNumber	LickContactTime	LickDuration	AirState	DoorState	LED1State	LED2State	LED3State
13	2015-02-15 13:34:12.42	2015-02-15 13:34:13.26	5	-1	1	1	0	0	0	0	0	0	0	0	0
14	2015-02-15 13:48:19.12	2015-02-15 13:48:19.89	6	1	0	1	0	0	0	0	0	0	0	0	0
19	2015-02-15 15:52:46.06	2015-02-15 15:52:47.79	5	-1	1	0	0	0	0	0	0	0	0	0	0
22	2015-02-15 16:01:46.51	2015-02-15 16:01:46.56	6	1	0	1	0	0	0	0	0	0	0	0	0
28	2015-02-15 19:06:01.15	2015-02-15 19:09:44.32	5	-1	1	0	0	214	69.57	83.375	0	0	0	0	0
29	2015-02-15 20:32:42.68	2015-02-15 20:32:51.50	5	-1	1	0	0	5	0.2	0.515625	0	0	0	0	0
29	2015-02-15 20:32:51.60	2015-02-15 20:32:51.96	5	-1	1	1	0	0	0	0	0	0	0	0	0
29	2015-02-15 20:32:57.29	2015-02-15 20:32:57.54	5	-1	1	1	0	0	0	0	0	0	0	0	0
30	2015-02-15 20:39:24.98	2015-02-15 20:39:32.51	5	-1	1	0	0	4	0.411	0.71875	0	0	0	0	0
31	2015-02-15 20:42:07.06	2015-02-15 20:42:07.10	5	-1	1	1	1	0	0	0	0	0	0	0	0
31	2015-02-15 20:42:07.15	2015-02-15 20:42:08.59	5	-1	1	1	1	0	0	0	0	0	0	0	0
31	2015-02-15 20:42:12.93	2015-02-15 20:42:13.17	5	-1	1	1	0	0	0	0	0	0	0	0	0
32	2015-02-15 20:42:26.20	2015-02-15 20:42:27.76	6	1	0	1	1	0	0	0	0	0	0	0	0
32	2015-02-15 20:42:28.68	2015-02-15 20:42:29.00	6	1	0	1	0	0	0	0	0	0	0	0	0
33	2015-02-15 20:44:05.12	2015-02-15 20:44:05.18	5	-1	1	1	0	0	0	0	0	0	0	0	0
34	2015-02-15 20:44:30.01	2015-02-15 20:44:30.14	5	-1	1	1	1	0	0	0	0	0	0	0	0
34	2015-02-15 20:44:30.39	2015-02-15 20:44:31.34	5	-1	1	1	1	0	0	0	0	0	0	0	0
34	2015-02-15 20:44:32.03	2015-02-15 20:44:32.51	5	-1	1	1	0	0	0	0	0	0	0	0	0
35	2015-02-15 20:44:40.78	2015-02-15 20:44:48.01	5	-1	1	0	0	4	0.438	0.75	0	0	0	0	0
36	2015-02-15 20:44:53.93	2015-02-15 20:44:56.20	5	-1	1	1	0	0	0	0	0	0	0	0	0
37	2015-02-15 20:45:30.54	2015-02-15 20:45:31.95	5	-1	1	1	0	0	0	0	0	0	0	0	0
37	2015-02-15 20:45:32.48	2015-02-15 20:45:32.78	6	1	0	1	0	0	0	0	0	0	0	0	0
38	2015-02-15 20:45:39.76	2015-02-15 20:45:45.29	6	1	0	0	0	10	0.15	0.859375	0	0	0	0	0
38	2015-02-15 20:45:45.62	2015-02-15 20:45:46.95	6	1	0	1	0	0	0	0	0	0	0	0	0
38	2015-02-15 20:45:47.09	2015-02-15 20:45:47.14	6	1	0	1	0	0	0	0	0	0	0	0	0
38	2015-02-15 20:45:47.17	2015-02-15 20:45:47.43	6	1	0	1	0	0	0	0	0	0	0	0	0
39	2015-02-15 20:45:52.23	2015-02-15 20:45:52.34	5	-1	1	1	1	0	0	0	0	0	0	0	0
39	2015-02-15 20:45:54.25	2015-02-15 20:45:54.39	6	1	0	1	1	0	0	0	0	0	0	0	0
39	2015-02-15 20:45:54.56	2015-02-15 20:45:55.18	6	1	0	1	1	0	0	0	0	0	0	0	0
39	2015-02-15 20:45:55.43	2015-02-15 20:45:56.43	6	1	0	1	1	0	0	0	0	0	0	0	0
39	2015-02-15 20:45:57.48	2015-02-15 20:45:57.62	6	1	0	1	0	0	0	0	0	0	0	0	0
40	2015-02-15 20:47:29.45	2015-02-15 20:47:30.35	5	-1	1	1	0	0	0	0	0	0	0	0	0
40	2015-02-15 20:47:51.76	2015-02-15 20:47:52.64	5	-1	1	1	0	0	0	0	0	0	0	0	0
41	2015-02-15 20:47:56.93	2015-02-15 20:48:03.25	6	1	0	0	0	23	0.916	2.53125	0	0	0	0	0
41	2015-02-15 20:48:03.31	2015-02-15 20:48:03.79	6	1	0	1	0	0	0	0	0	0	0	0	0
42	2015-02-15 20:49:47.81	2015-02-15 20:49:53.81	5	-1	1	0	0	8	0.553	1.09375	0	0	0	0	0
43	2015-02-15 20:50:00.07	2015-02-15 20:50:00.68	6	1	0	1	1	0	0	0	0	0	0	0	0
43	2015-02-15 20:50:02.42	2015-02-15 20:50:02.93	5	-1	1	1	0	0	0	0	0	0	0	0	0
44	2015-02-15 22:33:33.12	2015-02-15 22:33:33.95	5	-1	1	1	1	0	0	0	0	0	0	0	0
44	2015-02-15 22:33:33.96	2015-02-15 22:33:34.06	5	-1	1	1	0	0	0	0	0	0	0	0	0
45	2015-02-15 23:05:33.42	2015-02-15 23:05:33.54	6	1	0	1	1	0	0	0	0	0	0	0	0
45	2015-02-15 23:05:33.76	2015-02-15 23:05:34.09	6	1	0	1	1	0	0	0	0	0	0	0	0
45	2015-02-15 23:05:34.48	2015-02-15 23:05:34.79	6	1	0	1	0	0	0	0	0	0	0	0	0
45	2015-02-15 23:05:35.39	2015-02-15 23:05:35.87	5	-1	1	1	0	0	0	0	0	0	0	0	0
46	2015-02-15 23:19:48.01	2015-02-15 23:19:48.84	5	-1	1	1	0	0	0	0	0	0	0	0	0
46	2015-02-15 23:19:49.39	2015-02-15 23:19:50.00	6	1	0	1	0	0	0	0	0	0	0	0	0
47	2015-02-15 23:30:11.50	2015-02-15 23:30:11.57	6	1	0	0	0	0	0	0	0	0	0	0	0
47	2015-02-15 23:30:11.95	2015-02-15 23:30:20.15	6	1	0	0	0	5	0.075	0.421875	0	0	0	0	0
47	2015-02-15 23:30:27.32	2015-02-15 23:30:28.50	6	1	0	1	0	0	0	0	0	0	0	0	0
47	2015-02-15 23:30:45.71	2015-02-15 23:30:46.79	6	1	0	1	0	0	0	0	0	0	0	0	0
48	2015-02-15 23:30:54.42	2015-02-15 23:32:02.48	5	-1	1	0	0	85	5.736	11.828125	0	0	0	0	0
48	2015-02-15 23:32:07.01	2015-02-15 23:32:45.39	5	-1	1	0	0	120	12.176	20.375	0	0	0	0	0
48	2015-02-15 23:32:49.82	2015-02-15 23:33:15.25	5	-1	1	0	0	12	0.89	1.71875	0	0	0	0	0
48	2015-02-15 23:33:20.46	2015-02-15 23:33:55.37	5	-1	1	0	0	57	4.541	8.546875	0	0	0	0	0
49	2015-02-15 23:37:24.43	2015-02-15 23:37:25.15	5	-1	1	1	1	0	0	0	0	0	0	0	0
49	2015-02-15 23:37:25.21	2015-02-15 23:37:26.28	5	-1	1	1	1	0	0	0	0	0	0	0	0
49	2015-02-15 23:37:26.39	2015-02-15 23:37:26.45	5	-1	1	1	1	0	0	0	0	0	0	0	0
49	2015-02-15 23:37:26.62	2015-02-15 23:37:26.78	5	-1	1	1	1	0	0	0	0	0	0	0	0
49	2015-02-15 23:37:26.82	2015-02-15 23:37:26.95	5	-1	1	1	1	0	0	0	0	0	0	0	0
49	2015-02-15 23:37:27.06	2015-02-15 23:37:27.17	5	-1	1	1	1	0	0	0	0	0	0	0	0
49	2015-02-15 23:37:27.23	2015-02-15 23:37:27.34	5	-1	1	1	0	0	0	0	0	0	0	0	0
49	2015-02-15 23:37:28.78	2015-02-15 23:37:28.85	6	1	0	1	0	0	0	0	0	0	0	0	0
50	2015-02-15 23:40:45.53	2015-02-15 23:40:45.85	5	-1	1	1	0	0	0	0	0	0	0	0	0
51	2015-02-15 23:43:00.87	2015-02-15 23:43:01.68	6	1	0	1	1	0	0	0	0	0	0	0	0
51	2015-02-15 23:43:08.59	2015-02-15 23:43:08.82	5	-1	1	1	1	0	0	0	0	0	0	0	0
51	2015-02-15 23:43:09.04	2015-02-15 23:43:09.81	5	-1	1	1	1	0	0	0	0	0	0	0	0
51	2015-02-15 23:43:10.43	2015-02-15 23:43:10.64	5	-1	1	1	0	0	0	0	0	0	0	0	0
52	2015-02-15 23:43:16.59	2015-02-15 23:43:17.65	6	1	0	1	0	0	0	0	0	0	0	0	0
54	2015-02-15 23:48:37.73	2015-02-15 23:48:45.53	5	-1	1	0	0	10	0.654	1.40625	0	0	0	0	0
55	2015-02-15 23:48:56.50	2015-02-15 23:48:58.45	5	-1	1	1	1	0	0	0	0	0	0	0	0
55	2015-02-15 23:48:59.51	2015-02-15 23:48:59.62	6	1	0	1	0	0	0	0	0	0	0	0	0
56	2015-02-15 23:51:40.95	2015-02-15 23:51:43.23	5	-1	1	1	1	0	0	0	0	0	0	0	0
56	2015-02-15 23:51:43.34	2015-02-15 23:51:43.73	5	-1	1	1	0	0	0	0	0	0	0	0	0
56	2015-02-15 23:51:45.09	2015-02-15 23:51:45.31	6	1	0	1	0	0	0	0	0	0	0	0	0
58	2015-02-16 00:03:17.12	2015-02-16 00:03:26.56	5	-1	1	0	1	9	0.511	1.140625	0	0	0	0	0
58	2015-02-16 00:03:26.62	2015-02-16 00:03:27.23	5	-1	1	1	1	0	0	0	0	0	0	0	0
58	2015-02-16 00:03:31.34	2015-02-16 00:03:31.85	5	-1	1	1	1	0	0	0	0	0	0	0	0
58	2015-02-16 00:03:59.34	2015-02-16 00:03:59.50	5	-1	1	1	1	0	0	0	0	0	0	0	0
58	2015-02-16 00:04:01.95	2015-02-16 00:04:02.98	6	1	0	1	0	0	0	0	0	0	0	0	0
59	2015-02-16 00:04:10.48	2015-02-16 00:04:15.57	6	1	0	0	0	5	0.088	0.421875	0	0	0	0	0
59	2015-02-16 00:04:16.76	2015-02-16 00:04:18.31	6	1	0	1	0	0	0	0	0	0	0	0	0
59	2015-02-16 00:04:18.43	2015-02-16 00:04:18.45	6	1	0	1	0	0	0	0	0	0	0	0	0
59	2015-02-16 00:04:18.51	2015-02-16 00:04:18.54	6	1	0	1	0	0	0	0	0	0	0	0	0
60	2015-02-16 00:04:24.12	2015-02-16 00:04:30.34	5	-1	1	0	1	6	0.356	0.859375	0	0	0	0	0
60	2015-02-16 00:04:30.40	2015-02-16 00:04:30.48	5	-1	1	1	1	0	0	0	0	0	0	0	0
60	2015-02-16 00:04:30.62	2015-02-16 00:04:32.68	5	-1	1	1	1	0	0	0	0	0	0	0	0
