VisitID	Start	End	Side	SideCondition	SideError	TimeError	ConditionError	LickNumber	LickContactTime	LickDuration	AirState	DoorState	LED1State	LED2State	LED3State
0	2016-04-06 16:47:32.51	2016-04-06 16:47:33.15	5	1	0	0	0	0	0	0	0	0	0	0	0
2	2016-04-06 16:48:06.76	2016-04-06 16:48:07.50	5	1	0	0	0	0	0	0	0	0	0	0	0
2	2016-04-06 16:48:12.71	2016-04-06 16:48:13.43	5	1	0	0	0	0	0	0	0	0	0	0	0
3	2016-04-06 16:50:59.57	2016-04-06 16:51:00.07	5	1	0	0	0	0	0	0	0	0	0	0	0
4	2016-04-06 18:01:18.18	2016-04-06 18:01:19.03	5	1	0	0	0	0	0	0	0	0	0	0	0
5	2016-04-06 18:06:53.67	2016-04-06 18:06:54.32	5	1	0	0	0	0	0	0	0	0	0	0	0
5	2016-04-06 18:07:08.62	2016-04-06 18:07:08.73	5	1	0	0	0	0	0	0	0	0	0	0	0
5	2016-04-06 18:07:08.78	2016-04-06 18:07:10.07	5	1	0	0	0	0	0	0	0	0	0	0	0
5	2016-04-06 18:07:15.68	2016-04-06 18:07:15.73	6	-1	1	0	0	0	0	0	0	0	0	0	0
5	2016-04-06 18:07:17.95	2016-04-06 18:07:18.45	5	1	0	0	0	0	0	0	0	0	0	0	0
6	2016-04-06 19:30:58.79	2016-04-06 19:31:01.51	5	1	0	1	0	0	0	0	0	0	0	0	0
6	2016-04-06 19:31:12.92	2016-04-06 19:31:13.81	5	1	0	1	0	0	0	0	0	0	0	0	0
7	2016-04-06 19:55:50.34	2016-04-06 19:55:51.06	5	1	0	1	0	0	0	0	0	0	0	0	0
7	2016-04-06 19:55:51.43	2016-04-06 19:56:09.17	5	1	0	1	0	2	0.03	0.1875	0	0	0	0	0
7	2016-04-06 19:56:14.79	2016-04-06 19:56:17.67	5	1	0	1	0	0	0	0	0	0	0	0	0
7	2016-04-06 19:56:20.46	2016-04-06 19:56:21.29	5	1	0	1	0	0	0	0	0	0	0	0	0
8	2016-04-06 19:57:21.96	2016-04-06 19:57:23.09	5	1	0	1	0	0	0	0	0	0	0	0	0
8	2016-04-06 19:57:23.20	2016-04-06 19:57:38.42	5	1	0	1	0	10	0.177	0.875	0	0	0	0	0
8	2016-04-06 19:57:41.26	2016-04-06 19:57:42.42	5	1	0	1	0	0	0	0	0	0	0	0	0
9	2016-04-06 20:20:50.95	2016-04-06 20:20:51.90	5	1	0	1	0	0	0	0	0	0	0	0	0
9	2016-04-06 20:20:52.57	2016-04-06 20:21:03.67	5	1	0	1	0	10	0.248	0.921875	0	0	0	0	0
9	2016-04-06 20:21:09.03	2016-04-06 20:21:09.54	5	1	0	1	0	0	0	0	0	0	0	0	0
10	2016-04-06 20:24:39.65	2016-04-06 20:24:40.37	5	1	0	1	0	0	0	0	0	0	0	0	0
10	2016-04-06 20:24:40.95	2016-04-06 20:24:47.20	5	1	0	1	0	8	0.217	0.8125	0	0	0	0	0
11	2016-04-06 20:30:52.39	2016-04-06 20:30:53.20	5	1	0	1	0	0	0	0	0	0	0	0	0
11	2016-04-06 20:30:53.92	2016-04-06 20:31:12.98	5	1	0	1	0	8	0.551	1.125	0	0	0	0	0
11	2016-04-06 20:31:17.43	2016-04-06 20:31:18.14	5	1	0	1	0	0	0	0	0	0	0	0	0
12	2016-04-06 20:31:32.35	2016-04-06 20:31:34.10	5	1	0	1	0	0	0	0	0	0	0	0	0
12	2016-04-06 20:31:34.39	2016-04-06 20:31:44.45	5	1	0	1	0	14	0.209	1.140625	0	0	0	0	0
12	2016-04-06 20:31:51.31	2016-04-06 20:31:51.98	5	1	0	1	0	0	0	0	0	0	0	0	0
13	2016-04-06 20:35:35.81	2016-04-06 20:35:36.57	5	1	0	1	0	0	0	0	0	0	0	0	0
13	2016-04-06 20:35:36.62	2016-04-06 20:35:37.75	5	1	0	1	0	0	0	0	0	0	0	0	0
13	2016-04-06 20:35:38.84	2016-04-06 20:35:39.59	5	1	0	1	0	0	0	0	0	0	0	0	0
14	2016-04-06 20:36:00.37	2016-04-06 20:36:02.78	5	1	0	1	0	0	0	0	0	0	0	0	0
16	2016-04-06 20:37:54.51	2016-04-06 20:37:55.07	5	1	0	1	0	0	0	0	0	0	0	0	0
16	2016-04-06 20:37:55.90	2016-04-06 20:38:04.48	5	1	0	1	0	11	0.165	0.96875	0	0	0	0	0
16	2016-04-06 20:38:05.54	2016-04-06 20:38:05.67	6	-1	1	1	0	0	0	0	0	0	0	0	0
16	2016-04-06 20:38:14.40	2016-04-06 20:38:15.25	5	1	0	1	0	0	0	0	0	0	0	0	0
16	2016-04-06 20:38:15.12	2016-04-06 20:38:15.85	6	-1	1	1	0	0	0	0	0	0	0	0	0
17	2016-04-06 20:38:28.82	2016-04-06 20:38:39.43	5	1	0	1	0	9	0.135	0.796875	0	0	0	0	0
17	2016-04-06 20:38:43.60	2016-04-06 20:38:44.32	5	1	0	1	0	0	0	0	0	0	0	0	0
17	2016-04-06 20:38:45.14	2016-04-06 20:38:45.53	5	1	0	1	0	0	0	0	0	0	0	0	0
18	2016-04-06 20:39:21.37	2016-04-06 20:39:24.48	5	1	0	1	0	0	0	0	0	0	0	0	0
19	2016-04-06 20:39:35.84	2016-04-06 20:39:38.20	5	1	0	1	0	0	0	0	0	0	0	0	0
19	2016-04-06 20:39:42.17	2016-04-06 20:39:42.60	5	1	0	1	0	0	0	0	0	0	0	0	0
20	2016-04-06 20:39:48.09	2016-04-06 20:39:53.10	5	1	0	1	0	24	0.636	2.328125	0	0	0	0	0
20	2016-04-06 20:39:53.14	2016-04-06 20:40:02.29	5	1	0	1	0	0	0	0	0	0	0	0	0
20	2016-04-06 20:40:05.40	2016-04-06 20:40:06.07	5	1	0	1	0	0	0	0	0	0	0	0	0
21	2016-04-06 20:40:13.25	2016-04-06 20:40:35.78	5	1	0	1	0	16	0.366	1.515625	0	0	0	0	0
21	2016-04-06 20:40:39.62	2016-04-06 20:40:42.09	5	1	0	1	0	0	0	0	0	0	0	0	0
22	2016-04-06 20:41:09.68	2016-04-06 20:41:11.10	5	1	0	1	0	0	0	0	0	0	0	0	0
22	2016-04-06 20:41:11.12	2016-04-06 20:41:23.17	5	1	0	1	0	15	0.239	1.328125	0	0	0	0	0
23	2016-04-06 20:41:28.56	2016-04-06 20:41:41.90	5	1	0	1	0	12	0.18	1.046875	0	0	0	0	0
23	2016-04-06 20:41:44.17	2016-04-06 20:41:44.78	5	1	0	1	0	0	0	0	0	0	0	0	0
23	2016-04-06 20:41:45.12	2016-04-06 20:41:45.71	5	1	0	1	0	0	0	0	0	0	0	0	0
24	2016-04-06 20:42:59.51	2016-04-06 20:43:02.40	5	1	0	1	0	0	0	0	0	0	0	0	0
25	2016-04-06 20:43:07.96	2016-04-06 20:43:18.06	5	1	0	1	0	9	0.135	0.71875	0	0	0	0	0
25	2016-04-06 20:43:20.89	2016-04-06 20:43:21.37	5	1	0	1	0	0	0	0	0	0	0	0	0
26	2016-04-06 20:44:15.89	2016-04-06 20:44:16.85	5	1	0	1	0	0	0	0	0	0	0	0	0
26	2016-04-06 20:44:16.96	2016-04-06 20:44:37.04	5	1	0	1	0	13	0.221	1.140625	0	0	0	0	0
26	2016-04-06 20:44:38.70	2016-04-06 20:44:39.40	5	1	0	1	0	0	0	0	0	0	0	0	0
27	2016-04-06 20:47:19.67	2016-04-06 20:47:21.14	5	1	0	1	0	0	0	0	0	0	0	0	0
27	2016-04-06 20:47:23.57	2016-04-06 20:47:23.64	6	-1	1	1	0	0	0	0	0	0	0	0	0
27	2016-04-06 20:47:24.79	2016-04-06 20:47:25.26	5	1	0	1	0	0	0	0	0	0	0	0	0
27	2016-04-06 20:47:29.35	2016-04-06 20:47:29.81	5	1	0	1	0	0	0	0	0	0	0	0	0
27	2016-04-06 20:47:33.92	2016-04-06 20:47:34.65	5	1	0	1	0	0	0	0	0	0	0	0	0
28	2016-04-06 20:47:39.25	2016-04-06 20:47:58.85	5	1	0	1	0	27	0.711	2.171875	0	0	0	0	0
28	2016-04-06 20:47:58.92	2016-04-06 20:47:58.95	5	1	0	1	0	0	0	0	0	0	0	0	0
28	2016-04-06 20:48:02.81	2016-04-06 20:48:03.37	5	1	0	1	0	0	0	0	0	0	0	0	0
29	2016-04-06 20:54:03.70	2016-04-06 20:54:04.34	5	1	0	1	0	0	0	0	0	0	0	0	0
29	2016-04-06 20:54:05.17	2016-04-06 20:54:14.60	5	1	0	1	0	17	0.254	1.4375	0	0	0	0	0
29	2016-04-06 20:54:16.48	2016-04-06 20:54:17.26	5	1	0	1	0	0	0	0	0	0	0	0	0
30	2016-04-06 20:54:22.92	2016-04-06 20:54:32.54	5	1	0	1	0	12	0.178	1.015625	0	0	0	0	0
30	2016-04-06 20:54:34.78	2016-04-06 20:54:35.09	5	1	0	1	0	0	0	0	0	0	0	0	0
31	2016-04-06 21:05:06.96	2016-04-06 21:05:08.76	5	1	0	1	0	0	0	0	0	0	0	0	0
31	2016-04-06 21:05:11.45	2016-04-06 21:05:11.50	5	1	0	1	0	0	0	0	0	0	0	0	0
31	2016-04-06 21:05:12.73	2016-04-06 21:05:13.06	5	1	0	1	0	0	0	0	0	0	0	0	0
31	2016-04-06 21:05:29.31	2016-04-06 21:05:30.12	5	1	0	1	0	0	0	0	0	0	0	0	0
31	2016-04-06 21:05:36.00	2016-04-06 21:05:36.62	5	1	0	1	0	0	0	0	0	0	0	0	0
32	2016-04-06 21:28:52.85	2016-04-06 21:28:54.29	5	1	0	1	0	0	0	0	0	0	0	0	0
32	2016-04-06 21:28:55.04	2016-04-06 21:29:01.73	5	1	0	1	0	11	0.179	0.9375	0	0	0	0	0
32	2016-04-06 21:29:03.56	2016-04-06 21:29:03.73	5	1	0	1	0	0	0	0	0	0	0	0	0
32	2016-04-06 21:29:03.76	2016-04-06 21:29:03.78	5	1	0	1	0	0	0	0	0	0	0	0	0
32	2016-04-06 21:29:04.54	2016-04-06 21:29:05.12	5	1	0	1	0	0	0	0	0	0	0	0	0
33	2016-04-06 21:29:16.53	2016-04-06 21:29:17.67	5	1	0	1	0	0	0	0	0	0	0	0	0
34	2016-04-06 21:47:09.95	2016-04-06 21:47:24.96	5	1	0	1	0	24	0.624	2.09375	0	0	0	0	0
