DateTime	Temperature	Illumination	Cage
2016-04-05 10:44:06	21.6	0	1
2016-04-05 10:45:05	21.6	3	1
2016-04-05 10:46:05	21.6	3	1
2016-04-05 10:47:05	21.6	3	1
2016-04-05 10:48:05	21.6	3	1
2016-04-05 10:49:05	21.6	3	1
2016-04-05 10:50:05	21.6	3	1
2016-04-05 10:51:05	21.6	3	1
2016-04-05 10:52:05	21.6	3	1
2016-04-05 10:53:05	21.6	3	1
2016-04-05 10:54:05	21.6	3	1
2016-04-05 10:55:05	21.6	3	1
2016-04-05 10:56:05	21.6	3	1
2016-04-05 10:57:05	21.6	3	1
2016-04-05 10:58:05	21.6	3	1
2016-04-05 10:59:05	21.6	3	1
2016-04-05 11:00:05	21.6	3	1
2016-04-05 11:01:05	21.6	3	1
2016-04-05 11:02:05	21.6	3	1
2016-04-05 11:03:05	21.6	3	1
2016-04-05 11:04:05	21.6	3	1
2016-04-05 11:05:05	21.6	3	1
2016-04-05 11:06:05	21.6	3	1
2016-04-05 11:07:05	21.6	3	1
2016-04-05 11:08:05	21.6	3	1
2016-04-05 11:09:05	21.6	3	1
2016-04-05 11:10:05	21.6	3	1
2016-04-05 11:11:05	21.6	3	1
2016-04-05 11:12:05	21.6	3	1
2016-04-05 11:13:05	21.6	3	1
2016-04-05 11:14:05	21.6	3	1
2016-04-05 11:15:05	21.6	0	1
2016-04-05 11:16:05	21.6	0	1
2016-04-05 11:17:05	21.6	3	1
2016-04-05 11:18:05	21.6	3	1
2016-04-05 11:19:05	21.6	3	1
2016-04-05 11:20:05	21.6	3	1
2016-04-05 11:21:05	21.6	3	1
2016-04-05 11:22:05	21.6	3	1
2016-04-05 11:23:05	21.6	3	1
2016-04-05 11:24:05	21.6	3	1
2016-04-05 11:25:05	21.6	3	1
2016-04-05 11:26:05	21.6	0	1
2016-04-05 11:27:05	21.6	3	1
2016-04-05 11:28:05	21.6	3	1
2016-04-05 11:29:05	21.6	3	1
2016-04-05 11:30:05	21.6	0	1
2016-04-05 11:31:05	21.6	0	1
2016-04-05 11:32:05	21.2	3	1
2016-04-05 11:33:05	21.6	3	1
2016-04-05 11:34:05	21.6	3	1
2016-04-05 11:35:05	21.6	3	1
2016-04-05 11:36:05	21.6	3	1
2016-04-05 11:37:05	21.6	3	1
2016-04-05 11:38:05	21.6	3	1
2016-04-05 11:39:05	21.6	3	1
2016-04-05 11:40:05	21.6	3	1
2016-04-05 11:41:05	21.6	3	1
2016-04-05 11:42:05	21.6	3	1
2016-04-05 11:43:05	21.6	3	1
2016-04-05 11:44:05	21.6	3	1
2016-04-05 11:45:05	21.6	3	1
2016-04-05 11:46:05	21.6	3	1
2016-04-05 11:47:05	21.6	3	1
2016-04-05 11:48:05	21.6	3	1
2016-04-05 11:49:05	21.6	3	1
2016-04-05 11:50:05	21.6	3	1
2016-04-05 11:51:05	21.6	3	1
2016-04-05 11:52:05	21.6	3	1
2016-04-05 11:53:05	21.6	3	1
2016-04-05 11:54:05	21.6	3	1
2016-04-05 11:55:05	21.6	3	1
2016-04-05 11:56:05	21.6	3	1
2016-04-05 11:57:05	21.6	3	1
2016-04-05 11:58:05	21.6	3	1
2016-04-05 11:59:05	21.6	3	1
2016-04-05 12:00:05	21.6	3	1
2016-04-05 12:01:05	21.6	3	1
2016-04-05 12:02:05	21.6	3	1
2016-04-05 12:03:05	21.6	3	1
2016-04-05 12:04:05	21.6	3	1
2016-04-05 12:05:05	21.6	3	1
2016-04-05 12:06:05	21.6	3	1
2016-04-05 12:07:05	21.6	0	1
2016-04-05 12:08:05	21.6	3	1
2016-04-05 12:09:05	21.6	3	1
2016-04-05 12:10:05	21.6	3	1
2016-04-05 12:11:05	21.6	3	1
2016-04-05 12:12:05	21.6	3	1
2016-04-05 12:13:05	21.6	3	1
2016-04-05 12:14:05	21.6	3	1
2016-04-05 12:15:05	21.6	3	1
2016-04-05 12:16:05	21.6	3	1
2016-04-05 12:17:05	21.6	3	1
2016-04-05 12:18:05	21.6	3	1
2016-04-05 12:19:05	21.6	3	1
2016-04-05 12:20:05	21.6	3	1
2016-04-05 12:21:05	21.6	3	1
2016-04-05 12:22:05	21.6	3	1
2016-04-05 12:23:05	21.6	3	1
2016-04-05 12:24:05	21.6	3	1
2016-04-05 12:25:05	21.6	3	1
2016-04-05 12:26:05	21.6	3	1
2016-04-05 12:27:05	21.6	3	1
2016-04-05 12:28:05	21.6	3	1
2016-04-05 12:29:05	21.6	3	1
2016-04-05 12:30:05	21.6	3	1
2016-04-05 12:31:05	21.6	3	1
2016-04-05 12:32:05	21.6	3	1
2016-04-05 12:33:05	21.6	3	1
2016-04-05 12:34:05	21.6	3	1
2016-04-05 12:35:05	21.6	3	1
2016-04-05 12:36:05	21.6	3	1
2016-04-05 12:37:05	21.6	3	1
2016-04-05 12:38:05	21.6	3	1
2016-04-05 12:39:05	21.6	3	1
2016-04-05 12:40:05	21.6	3	1
2016-04-05 12:41:05	21.6	3	1
2016-04-05 12:42:05	21.6	3	1
2016-04-05 12:43:05	21.6	3	1
2016-04-05 12:44:05	21.6	3	1
2016-04-05 12:45:05	21.6	3	1
2016-04-05 12:46:05	21.6	3	1
2016-04-05 12:47:05	21.6	3	1
2016-04-05 12:48:05	21.6	3	1
2016-04-05 12:49:05	21.6	3	1
2016-04-05 12:50:05	21.6	3	1
2016-04-05 12:51:05	21.6	3	1
2016-04-05 12:52:05	21.6	3	1
2016-04-05 12:53:05	21.6	3	1
2016-04-05 12:54:05	21.6	3	1
2016-04-05 12:55:05	21.6	3	1
2016-04-05 12:56:05	21.6	3	1
2016-04-05 12:57:05	21.6	3	1
2016-04-05 12:58:05	21.6	3	1
2016-04-05 12:59:05	21.6	3	1
2016-04-05 13:00:05	21.6	3	1
2016-04-05 13:01:05	21.6	3	1
2016-04-05 13:02:05	21.6	3	1
2016-04-05 13:03:05	21.6	3	1
2016-04-05 13:04:05	21.6	3	1
2016-04-05 13:05:05	21.6	3	1
2016-04-05 13:06:05	21.6	3	1
2016-04-05 13:07:05	21.6	3	1
2016-04-05 13:08:05	21.6	3	1
2016-04-05 13:09:05	21.6	3	1
2016-04-05 13:10:05	21.6	3	1
2016-04-05 13:11:05	21.6	3	1
2016-04-05 13:12:05	21.6	3	1
2016-04-05 13:13:05	21.6	3	1
2016-04-05 13:14:05	21.6	3	1
2016-04-05 13:15:05	21.6	3	1
2016-04-05 13:16:05	21.6	3	1
2016-04-05 13:17:05	21.6	3	1
2016-04-05 13:18:05	21.6	3	1
2016-04-05 13:19:05	21.6	3	1
2016-04-05 13:20:05	21.6	3	1
2016-04-05 13:21:05	21.6	3	1
2016-04-05 13:22:05	21.6	3	1
2016-04-05 13:23:05	21.6	3	1
2016-04-05 13:24:05	21.6	3	1
2016-04-05 13:25:05	21.6	3	1
2016-04-05 13:26:05	21.6	3	1
2016-04-05 13:27:05	21.6	3	1
2016-04-05 13:28:05	21.6	0	1
2016-04-05 13:29:05	21.6	3	1
2016-04-05 13:30:05	21.6	3	1
2016-04-05 13:31:05	21.6	0	1
2016-04-05 13:32:05	21.6	3	1
2016-04-05 13:33:05	21.6	3	1
2016-04-05 13:34:05	21.6	3	1
2016-04-05 13:35:05	21.6	0	1
2016-04-05 13:36:05	21.6	3	1
2016-04-05 13:37:05	21.6	3	1
2016-04-05 13:38:05	21.6	3	1
2016-04-05 13:39:05	21.6	3	1
2016-04-05 13:40:05	21.6	3	1
2016-04-05 13:41:05	21.6	3	1
2016-04-05 13:42:05	21.6	3	1
2016-04-05 13:43:05	21.6	0	1
2016-04-05 13:44:05	21.6	3	1
2016-04-05 13:45:05	21.6	3	1
2016-04-05 13:46:05	21.6	0	1
2016-04-05 13:47:05	21.6	3	1
2016-04-05 13:48:05	21.6	0	1
2016-04-05 13:49:05	21.6	3	1
2016-04-05 13:50:05	21.6	3	1
2016-04-05 13:51:05	21.6	3	1
