SequenceSessionId	Tag	VisitId	Start	End	Address	Output	PackageName
0	98102253062	26	2016-04-04 19:00:29.56	2016-04-04 19:00:31.76	1	3	Right Time
1	98102253062	26	2016-04-04 19:00:38.10	2016-04-04 19:00:39.79	1	3	Wrong Hour
2	98102253062	26	2016-04-04 19:00:40.12	2016-04-04 19:00:41.12	1	3	Wrong Hour
3	98102253062	26	2016-04-04 19:00:43.34	2016-04-04 19:00:44.34	1	3	Wrong Hour
4	98102253062	26	2016-04-04 19:00:46.68	2016-04-04 19:00:47.70	1	3	Wrong Hour
5	98102253062	26	2016-04-04 19:00:51.15	2016-04-04 19:00:52.17	1	3	Wrong Hour
6	98102253062	26	2016-04-04 19:00:57.43	2016-04-04 19:00:58.43	1	3	Wrong Hour
7	98102253062	26	2016-04-04 19:01:08.98	2016-04-04 19:01:09.98	1	3	Wrong Hour
8	98102253062	27	2016-04-04 19:01:17.26	2016-04-04 19:01:18.67	1	3	Right Time
9	98102253062	27	2016-04-04 19:01:26.70	2016-04-04 19:01:27.71	1	3	Wrong Hour
10	98102253062	27	2016-04-04 19:01:30.00	2016-04-04 19:01:31.00	1	3	Wrong Hour
11	98102253062	27	2016-04-04 19:01:33.60	2016-04-04 19:01:34.60	1	3	Wrong Hour
12	98102253062	27	2016-04-04 19:01:35.75	2016-04-04 19:01:36.75	1	3	Wrong Hour
13	98102253062	27	2016-04-04 19:01:37.81	2016-04-04 19:01:38.81	1	3	Wrong Hour
14	98102253062	28	2016-04-04 19:04:04.32	2016-04-04 19:04:05.34	1	3	Right Time
15	98102253062	28	2016-04-04 19:04:12.81	2016-04-04 19:04:13.25	1	3	Wrong Hour
16	98102253062	28	2016-04-04 19:04:13.25	2016-04-04 19:04:14.25	1	3	Wrong Hour
17	98102253062	29	2016-04-04 19:04:26.84	2016-04-04 19:04:27.85	1	3	Right Time
18	98102253062	29	2016-04-04 19:04:35.45	2016-04-04 19:04:36.46	1	3	Wrong Hour
19	98102253062	29	2016-04-04 19:04:41.65	2016-04-04 19:04:42.65	1	3	Wrong Hour
20	98102253062	30	2016-04-04 19:04:46.40	2016-04-04 19:04:47.42	1	3	Right Time
21	98102253062	30	2016-04-04 19:04:55.93	2016-04-04 19:04:56.95	1	3	Wrong Hour
22	98102253062	30	2016-04-04 19:04:58.20	2016-04-04 19:04:59.20	1	3	Wrong Hour
23	98102253062	30	2016-04-04 19:05:01.64	2016-04-04 19:05:02.64	1	3	Wrong Hour
24	98102253062	31	2016-04-04 19:18:09.64	2016-04-04 19:18:10.75	1	3	Right Time
25	98102253062	31	2016-04-04 19:18:17.09	2016-04-04 19:18:17.84	1	3	Wrong Hour
26	98102253062	31	2016-04-04 19:18:17.84	2016-04-04 19:18:18.85	1	3	Wrong Hour
27	98102253062	31	2016-04-04 19:18:20.60	2016-04-04 19:18:21.60	1	3	Wrong Hour
28	98102253062	31	2016-04-04 19:18:25.64	2016-04-04 19:18:26.00	1	3	Wrong Hour
29	98102253062	31	2016-04-04 19:18:26.00	2016-04-04 19:18:27.00	1	3	Wrong Hour
30	98102253062	32	2016-04-04 19:26:23.46	2016-04-04 19:26:24.46	1	3	Right Time
31	98102253062	32	2016-04-04 19:26:28.06	2016-04-04 19:26:29.06	1	3	Wrong Hour
32	98102253062	32	2016-04-04 19:26:32.40	2016-04-04 19:26:33.40	1	3	Wrong Hour
33	98102253062	32	2016-04-04 19:26:38.93	2016-04-04 19:26:39.93	1	3	Wrong Hour
34	98102253062	32	2016-04-04 19:26:43.04	2016-04-04 19:26:44.04	1	3	Wrong Hour
35	98102253062	32	2016-04-04 19:26:45.39	2016-04-04 19:26:46.39	1	3	Wrong Hour
36	98102254571	33	2016-04-04 19:29:10.34	2016-04-04 19:29:11.35	1	3	Wrong Hour
37	98102254571	33	2016-04-04 19:29:12.95	2016-04-04 19:29:13.95	1	3	Wrong Hour
38	98102254571	34	2016-04-04 19:31:05.93	2016-04-04 19:31:06.93	1	3	Wrong Hour
39	98102254571	34	2016-04-04 19:31:15.73	2016-04-04 19:31:16.73	1	3	Wrong Hour
40	98102254571	34	2016-04-04 19:31:19.79	2016-04-04 19:31:20.79	1	3	Wrong Hour
