SequenceSessionId	Tag	VisitId	Start	End	Address	Output	PackageName
0	98102254571	10	2016-04-01 19:06:55.98	2016-04-01 19:06:57.29	1	3	Wrong Time
1	98102254571	10	2016-04-01 19:06:57.81	2016-04-01 19:06:58.81	1	3	Wrong Time
2	98102254571	12	2016-04-01 19:11:40.65	2016-04-01 19:11:41.65	1	3	Wrong Time
3	98102108119	13	2016-04-01 19:12:04.62	2016-04-01 19:12:05.62	1	3	Wrong Time
4	98102108119	13	2016-04-01 19:12:06.89	2016-04-01 19:12:07.89	1	3	Wrong Time
5	98102108119	13	2016-04-01 19:12:09.37	2016-04-01 19:12:10.39	1	3	Wrong Time
6	98102108119	13	2016-04-01 19:12:12.92	2016-04-01 19:12:13.92	1	3	Wrong Time
7	98102108119	14	2016-04-01 19:12:23.06	2016-04-01 19:12:23.70	1	3	Wrong Time
8	98102108119	14	2016-04-01 19:12:23.70	2016-04-01 19:12:24.70	1	3	Wrong Time
9	98102253062	19	2016-04-01 19:12:36.17	2016-04-01 19:12:37.17	1	3	Wrong Time
10	98102253062	19	2016-04-01 19:12:38.01	2016-04-01 19:12:39.01	1	3	Wrong Time
11	98102253062	19	2016-04-01 19:12:39.60	2016-04-01 19:12:40.60	1	3	Wrong Time
12	98102253062	19	2016-04-01 19:12:48.48	2016-04-01 19:12:49.48	1	3	Wrong Time
13	98102253062	19	2016-04-01 19:12:58.03	2016-04-01 19:12:59.03	1	3	Wrong Time
14	98102253062	19	2016-04-01 19:13:02.64	2016-04-01 19:13:03.64	1	3	Wrong Time
15	98102253062	20	2016-04-01 19:14:06.64	2016-04-01 19:14:07.04	1	3	Wrong Time
16	98102253062	20	2016-04-01 19:14:07.04	2016-04-01 19:14:08.04	1	3	Wrong Time
17	98102254571	21	2016-04-01 19:14:17.17	2016-04-01 19:14:18.26	1	3	Right Time
18	98102254571	22	2016-04-01 19:15:09.40	2016-04-01 19:15:10.42	1	3	Wrong Time
19	98102254571	23	2016-04-01 19:15:16.03	2016-04-01 19:15:17.03	1	3	Wrong Time
20	98102253062	24	2016-04-01 19:15:23.96	2016-04-01 19:15:24.96	1	3	Wrong Time
21	98102253062	24	2016-04-01 19:15:33.92	2016-04-01 19:15:34.92	1	3	Wrong Time
22	98102253062	24	2016-04-01 19:15:37.37	2016-04-01 19:15:38.39	1	3	Wrong Time
23	98102253062	24	2016-04-01 19:15:39.95	2016-04-01 19:15:40.71	1	3	Wrong Time
24	98102253062	24	2016-04-01 19:15:40.71	2016-04-01 19:15:41.71	1	3	Wrong Time
25	98102253062	25	2016-04-01 19:17:42.25	2016-04-01 19:17:43.26	1	3	Wrong Time
26	98102254571	27	2016-04-01 19:18:28.73	2016-04-01 19:18:29.35	1	3	Wrong Time
27	98102254571	27	2016-04-01 19:18:29.35	2016-04-01 19:18:30.35	1	3	Wrong Time
28	98102254571	28	2016-04-01 19:19:52.21	2016-04-01 19:19:53.21	1	3	Wrong Time
29	98102254571	28	2016-04-01 19:20:03.26	2016-04-01 19:20:04.26	1	3	Wrong Time
30	98102254571	28	2016-04-01 19:20:10.92	2016-04-01 19:20:11.93	1	3	Wrong Time
31	98102253062	29	2016-04-01 19:20:17.29	2016-04-01 19:20:18.29	1	3	Wrong Time
32	98102253062	29	2016-04-01 19:20:24.51	2016-04-01 19:20:25.51	1	3	Wrong Time
33	98102253062	29	2016-04-01 19:20:30.09	2016-04-01 19:20:31.09	1	3	Wrong Time
34	98102253062	29	2016-04-01 19:20:33.90	2016-04-01 19:20:34.90	1	3	Wrong Time
35	98102253062	29	2016-04-01 19:20:58.25	2016-04-01 19:20:59.25	1	3	Wrong Time
36	98102254571	30	2016-04-01 19:21:55.10	2016-04-01 19:21:56.10	1	3	Wrong Time
37	98102254571	33	2016-04-01 19:22:51.07	2016-04-01 19:22:52.07	1	3	Wrong Time
38	98102253062	38	2016-04-01 19:23:02.90	2016-04-01 19:23:03.90	1	3	Wrong Time
39	98102253062	38	2016-04-01 19:23:09.90	2016-04-01 19:23:10.21	1	3	Wrong Time
40	98102253062	38	2016-04-01 19:23:10.21	2016-04-01 19:23:11.21	1	3	Wrong Time
41	98102253062	38	2016-04-01 19:23:12.26	2016-04-01 19:23:12.40	1	3	Wrong Time
42	98102253062	38	2016-04-01 19:23:12.40	2016-04-01 19:23:13.40	1	3	Wrong Time
43	98102253062	41	2016-04-01 19:24:24.95	2016-04-01 19:24:25.95	1	3	Wrong Time
44	98102253062	41	2016-04-01 19:24:26.25	2016-04-01 19:24:27.25	1	3	Wrong Time
45	98102253062	41	2016-04-01 19:24:36.89	2016-04-01 19:24:37.89	1	3	Wrong Time
46	98102253062	41	2016-04-01 19:24:38.00	2016-04-01 19:24:39.00	1	3	Wrong Time
47	98102253062	41	2016-04-01 19:24:39.09	2016-04-01 19:24:40.09	1	3	Wrong Time
48	98102254571	42	2016-04-01 19:25:53.25	2016-04-01 19:25:54.25	1	3	Wrong Time
49	98102253062	43	2016-04-01 19:28:22.09	2016-04-01 19:28:23.09	1	3	Wrong Time
50	98102253062	43	2016-04-01 19:28:24.40	2016-04-01 19:28:25.40	1	3	Wrong Time
51	98102253062	43	2016-04-01 19:28:29.40	2016-04-01 19:28:30.40	1	3	Wrong Time
52	98102253062	47	2016-04-01 19:28:40.28	2016-04-01 19:28:41.28	1	3	Right Time
53	98102254571	48	2016-04-01 19:28:44.32	2016-04-01 19:28:44.68	1	3	Wrong Time
54	98102254571	48	2016-04-01 19:28:44.68	2016-04-01 19:28:45.68	1	3	Wrong Time
55	98102253062	49	2016-04-01 19:28:45.79	2016-04-01 19:28:46.79	1	3	Wrong Time
56	98102253062	53	2016-04-01 19:29:10.14	2016-04-01 19:29:11.15	1	3	Wrong Time
57	98102254571	55	2016-04-01 19:29:34.39	2016-04-01 19:29:34.65	1	3	Wrong Time
58	98102254571	55	2016-04-01 19:29:34.65	2016-04-01 19:29:35.65	1	3	Wrong Time
59	98102254571	55	2016-04-01 19:29:41.35	2016-04-01 19:29:42.35	1	3	Wrong Time
60	98102254571	55	2016-04-01 19:29:43.59	2016-04-01 19:29:44.60	1	3	Wrong Time
61	98102254571	55	2016-04-01 19:29:55.07	2016-04-01 19:29:56.07	1	3	Wrong Time
62	98102254571	55	2016-04-01 19:29:56.56	2016-04-01 19:29:57.43	1	3	Wrong Time
63	98102254571	55	2016-04-01 19:29:57.43	2016-04-01 19:29:57.51	1	3	Wrong Time
64	98102254571	55	2016-04-01 19:29:57.51	2016-04-01 19:29:58.51	1	3	Wrong Time
65	98102254571	57	2016-04-01 19:33:59.35	2016-04-01 19:34:00.35	1	3	Wrong Time
66	98102254571	57	2016-04-01 19:34:01.26	2016-04-01 19:34:02.26	1	3	Wrong Time
67	98102254571	58	2016-04-01 19:37:07.56	2016-04-01 19:37:08.32	1	3	Wrong Time
68	98102254571	58	2016-04-01 19:37:08.32	2016-04-01 19:37:09.32	1	3	Wrong Time
69	98102254571	62	2016-04-01 19:40:28.73	2016-04-01 19:40:29.73	1	3	Wrong Time
70	98102108119	63	2016-04-01 19:40:32.39	2016-04-01 19:40:33.39	1	3	Wrong Time
71	98102108119	63	2016-04-01 19:40:33.59	2016-04-01 19:40:34.15	1	3	Wrong Time
72	98102108119	63	2016-04-01 19:40:34.15	2016-04-01 19:40:35.15	1	3	Wrong Time
73	98102108119	63	2016-04-01 19:40:40.57	2016-04-01 19:40:41.25	1	3	Wrong Time
74	98102108119	63	2016-04-01 19:40:41.25	2016-04-01 19:40:41.56	1	3	Wrong Time
75	98102108119	63	2016-04-01 19:40:41.56	2016-04-01 19:40:42.57	1	3	Wrong Time
76	98102108119	71	2016-04-01 19:40:58.53	2016-04-01 19:40:59.53	1	3	Right Time
77	98102254571	74	2016-04-01 19:41:11.00	2016-04-01 19:41:12.00	1	3	Wrong Time
78	98102108119	75	2016-04-01 19:41:15.79	2016-04-01 19:41:16.79	1	3	Wrong Time
79	98102108119	75	2016-04-01 19:41:17.37	2016-04-01 19:41:18.39	1	3	Wrong Time
80	98102108119	75	2016-04-01 19:41:18.39	2016-04-01 19:41:18.60	1	3	Wrong Time
81	98102108119	75	2016-04-01 19:41:18.60	2016-04-01 19:41:19.60	1	3	Wrong Time
82	98102254571	76	2016-04-01 19:41:22.04	2016-04-01 19:41:23.04	1	3	Wrong Time
83	98102108119	79	2016-04-01 19:41:30.82	2016-04-01 19:41:30.92	1	3	Right Time
84	98102108119	79	2016-04-01 19:41:30.92	2016-04-01 19:41:31.93	1	3	Right Time
85	98102254571	80	2016-04-01 19:41:35.23	2016-04-01 19:41:35.54	1	3	Wrong Time
86	98102254571	80	2016-04-01 19:41:35.54	2016-04-01 19:41:36.54	1	3	Wrong Time
87	98102254571	80	2016-04-01 19:41:37.42	2016-04-01 19:41:38.15	1	3	Wrong Time
88	98102254571	80	2016-04-01 19:41:38.15	2016-04-01 19:41:39.15	1	3	Wrong Time
89	98102108119	82	2016-04-01 19:42:16.43	2016-04-01 19:42:17.45	1	3	Right Time
90	98102108119	83	2016-04-01 19:42:27.23	2016-04-01 19:42:28.23	1	3	Wrong Time
91	98102108119	83	2016-04-01 19:42:29.43	2016-04-01 19:42:30.43	1	3	Wrong Time
92	98102108119	83	2016-04-01 19:42:31.26	2016-04-01 19:42:32.26	1	3	Wrong Time
93	98102254571	85	2016-04-01 19:54:18.48	2016-04-01 19:54:19.48	1	3	Right Time
94	98102254571	86	2016-04-01 19:54:49.95	2016-04-01 19:54:50.95	1	3	Wrong Time
95	98102254571	86	2016-04-01 19:54:51.81	2016-04-01 19:54:52.81	1	3	Wrong Time
96	98102254571	86	2016-04-01 19:54:53.81	2016-04-01 19:54:54.81	1	3	Wrong Time
97	98102254571	86	2016-04-01 19:54:55.51	2016-04-01 19:54:56.51	1	3	Wrong Time
98	98102254571	87	2016-04-01 19:55:05.57	2016-04-01 19:55:06.59	1	3	Wrong Time
99	98102254571	87	2016-04-01 19:55:07.82	2016-04-01 19:55:08.84	1	3	Wrong Time
100	98102254571	87	2016-04-01 19:55:10.28	2016-04-01 19:55:11.28	1	3	Wrong Time
101	98102253062	88	2016-04-01 19:55:37.51	2016-04-01 19:55:38.51	1	3	Wrong Time
102	98102253062	88	2016-04-01 19:55:41.78	2016-04-01 19:55:42.78	1	3	Wrong Time
103	98102253062	88	2016-04-01 19:55:45.92	2016-04-01 19:55:46.92	1	3	Wrong Time
104	98102253062	88	2016-04-01 19:55:47.04	2016-04-01 19:55:48.04	1	3	Wrong Time
105	98102253062	89	2016-04-01 19:55:50.04	2016-04-01 19:55:51.04	1	3	Wrong Time
106	98102253062	89	2016-04-01 19:55:51.39	2016-04-01 19:55:52.40	1	3	Wrong Time
107	98102254571	90	2016-04-01 19:57:20.76	2016-04-01 19:57:21.76	1	3	Wrong Time
108	98102253062	91	2016-04-01 19:57:42.85	2016-04-01 19:57:43.85	1	3	Wrong Time
109	98102254571	92	2016-04-01 19:59:26.98	2016-04-01 19:59:27.78	1	3	Wrong Time
110	98102254571	92	2016-04-01 19:59:27.78	2016-04-01 19:59:28.15	1	3	Wrong Time
111	98102254571	92	2016-04-01 19:59:28.15	2016-04-01 19:59:29.15	1	3	Wrong Time
112	98102254571	92	2016-04-01 19:59:36.98	2016-04-01 19:59:37.98	1	3	Wrong Time
113	98102254571	95	2016-04-01 20:02:31.79	2016-04-01 20:02:32.79	1	3	Right Time
114	98102254571	96	2016-04-01 20:02:54.51	2016-04-01 20:02:55.51	1	3	Wrong Time
115	98102254571	96	2016-04-01 20:02:56.93	2016-04-01 20:02:57.93	1	3	Wrong Time
116	98102254571	96	2016-04-01 20:03:04.51	2016-04-01 20:03:05.51	1	3	Wrong Time
117	98102254571	96	2016-04-01 20:03:07.51	2016-04-01 20:03:08.53	1	3	Wrong Time
118	98102254571	97	2016-04-01 20:03:16.34	2016-04-01 20:03:17.34	1	3	Wrong Time
119	98102254571	97	2016-04-01 20:03:20.71	2016-04-01 20:03:21.71	1	3	Wrong Time
120	98102253062	98	2016-04-01 20:04:33.67	2016-04-01 20:04:34.67	1	3	Wrong Time
121	98102253062	98	2016-04-01 20:04:34.75	2016-04-01 20:04:35.75	1	3	Wrong Time
122	98102253062	99	2016-04-01 20:06:13.85	2016-04-01 20:06:14.85	1	3	Wrong Time
123	98102253062	99	2016-04-01 20:06:33.31	2016-04-01 20:06:34.31	1	3	Wrong Time
124	98102253062	103	2016-04-01 20:06:54.39	2016-04-01 20:06:54.64	1	3	Wrong Time
125	98102253062	103	2016-04-01 20:06:54.64	2016-04-01 20:06:55.64	1	3	Wrong Time
126	98102254571	110	2016-04-01 20:07:10.18	2016-04-01 20:07:11.18	1	3	Wrong Time
127	98102253062	111	2016-04-01 20:07:13.82	2016-04-01 20:07:14.28	1	3	Wrong Time
128	98102253062	111	2016-04-01 20:07:14.28	2016-04-01 20:07:15.28	1	3	Wrong Time
129	98102253062	111	2016-04-01 20:07:16.15	2016-04-01 20:07:17.15	1	3	Wrong Time
130	98102254571	112	2016-04-01 20:07:21.90	2016-04-01 20:07:22.20	1	3	Wrong Time
131	98102254571	112	2016-04-01 20:07:22.20	2016-04-01 20:07:23.20	1	3	Wrong Time
132	98102253062	113	2016-04-01 20:07:26.25	2016-04-01 20:07:27.25	1	3	Wrong Time
133	98102253062	113	2016-04-01 20:07:28.48	2016-04-01 20:07:29.48	1	3	Wrong Time
134	98102253062	113	2016-04-01 20:07:30.21	2016-04-01 20:07:30.96	1	3	Wrong Time
135	98102253062	113	2016-04-01 20:07:30.96	2016-04-01 20:07:31.14	1	3	Wrong Time
136	98102253062	113	2016-04-01 20:07:31.14	2016-04-01 20:07:32.14	1	3	Wrong Time
137	98102254571	116	2016-04-01 20:07:38.84	2016-04-01 20:07:39.71	1	3	Wrong Time
138	98102253062	117	2016-04-01 20:07:39.71	2016-04-01 20:07:40.71	1	3	Wrong Time
139	98102254571	122	2016-04-01 20:07:53.48	2016-04-01 20:07:54.48	1	3	Wrong Time
140	98102254571	122	2016-04-01 20:07:59.18	2016-04-01 20:08:00.18	1	3	Wrong Time
141	98102253062	123	2016-04-01 20:08:02.34	2016-04-01 20:08:03.34	1	3	Wrong Time
142	98102253062	132	2016-04-01 20:09:09.62	2016-04-01 20:09:09.76	1	3	Wrong Time
143	98102253062	132	2016-04-01 20:09:09.76	2016-04-01 20:09:10.78	1	3	Wrong Time
144	98102253062	132	2016-04-01 20:09:11.40	2016-04-01 20:09:12.40	1	3	Wrong Time
145	98102254571	133	2016-04-01 20:09:21.93	2016-04-01 20:09:22.23	1	3	Wrong Time
146	98102254571	133	2016-04-01 20:09:22.23	2016-04-01 20:09:23.23	1	3	Wrong Time
147	98102253062	144	2016-04-01 20:09:42.60	2016-04-01 20:09:43.42	1	3	Wrong Time
148	98102253062	144	2016-04-01 20:09:43.42	2016-04-01 20:09:43.82	1	3	Wrong Time
149	98102253062	144	2016-04-01 20:09:43.82	2016-04-01 20:09:44.82	1	3	Wrong Time
150	98102254571	145	2016-04-01 20:09:49.64	2016-04-01 20:09:50.65	1	3	Wrong Time
151	98102253062	154	2016-04-01 20:10:30.76	2016-04-01 20:10:31.76	1	3	Wrong Time
152	98102253062	154	2016-04-01 20:10:31.98	2016-04-01 20:10:32.98	1	3	Wrong Time
153	98102253062	154	2016-04-01 20:10:37.90	2016-04-01 20:10:38.90	1	3	Wrong Time
154	98102254571	161	2016-04-01 20:11:47.28	2016-04-01 20:11:48.28	1	3	Wrong Time
155	98102253062	163	2016-04-01 20:19:35.54	2016-04-01 20:19:36.56	1	3	Wrong Time
156	98102253062	163	2016-04-01 20:19:37.59	2016-04-01 20:19:38.60	1	3	Wrong Time
157	98102254571	164	2016-04-01 20:21:00.89	2016-04-01 20:21:01.89	1	3	Wrong Time
158	98102254571	164	2016-04-01 20:21:12.12	2016-04-01 20:21:13.12	1	3	Wrong Time
159	98102253062	165	2016-04-01 20:24:17.75	2016-04-01 20:24:18.76	1	3	Wrong Time
160	98102253062	166	2016-04-01 20:27:41.39	2016-04-01 20:27:41.92	1	3	Wrong Time
161	98102253062	166	2016-04-01 20:27:41.92	2016-04-01 20:27:42.92	1	3	Wrong Time
162	98102253062	166	2016-04-01 20:27:49.14	2016-04-01 20:27:50.14	1	3	Wrong Time
163	98102253062	166	2016-04-01 20:27:54.93	2016-04-01 20:27:55.93	1	3	Wrong Time
164	98102253062	166	2016-04-01 20:27:59.85	2016-04-01 20:28:00.85	1	3	Wrong Time
165	98102253062	166	2016-04-01 20:28:14.96	2016-04-01 20:28:15.96	1	3	Wrong Time
166	98102253062	166	2016-04-01 20:28:36.09	2016-04-01 20:28:36.98	1	3	Wrong Time
167	98102253062	166	2016-04-01 20:28:36.98	2016-04-01 20:28:37.15	1	3	Wrong Time
168	98102253062	166	2016-04-01 20:28:37.15	2016-04-01 20:28:38.15	1	3	Wrong Time
169	98102253062	166	2016-04-01 20:28:40.26	2016-04-01 20:28:40.64	1	3	Wrong Time
170	98102253062	166	2016-04-01 20:28:40.64	2016-04-01 20:28:41.64	1	3	Wrong Time
171	98102253062	166	2016-04-01 20:28:45.62	2016-04-01 20:28:46.62	1	3	Wrong Time
172	98102253062	166	2016-04-01 20:28:49.37	2016-04-01 20:28:50.37	1	3	Wrong Time
173	98102253062	166	2016-04-01 20:29:00.40	2016-04-01 20:29:01.40	1	3	Wrong Time
174	98102253062	166	2016-04-01 20:29:03.82	2016-04-01 20:29:04.82	1	3	Wrong Time
175	98102108119	167	2016-04-01 20:37:54.03	2016-04-01 20:37:55.03	1	3	Right Time
176	98102253062	170	2016-04-01 20:46:22.40	2016-04-01 20:46:23.01	1	3	Wrong Time
177	98102253062	170	2016-04-01 20:46:23.01	2016-04-01 20:46:23.42	1	3	Wrong Time
178	98102253062	170	2016-04-01 20:46:23.42	2016-04-01 20:46:24.42	1	3	Wrong Time
179	98102253062	170	2016-04-01 20:46:26.04	2016-04-01 20:46:27.04	1	3	Wrong Time
180	98102253062	170	2016-04-01 20:46:27.84	2016-04-01 20:46:28.84	1	3	Wrong Time
181	98102253062	170	2016-04-01 20:46:29.21	2016-04-01 20:46:30.21	1	3	Wrong Time
182	98102253062	170	2016-04-01 20:46:33.17	2016-04-01 20:46:34.17	1	3	Wrong Time
183	98102108119	171	2016-04-01 20:46:40.14	2016-04-01 20:46:41.14	1	3	Wrong Time
184	98102108119	171	2016-04-01 20:46:41.82	2016-04-01 20:46:42.82	1	3	Wrong Time
185	98102108119	171	2016-04-01 20:46:44.50	2016-04-01 20:46:45.50	1	3	Wrong Time
186	98102254571	176	2016-04-01 20:48:52.79	2016-04-01 20:48:53.79	1	3	Wrong Time
187	98102254571	178	2016-04-01 20:51:58.84	2016-04-01 20:51:59.84	1	3	Wrong Time
188	98102254571	178	2016-04-01 20:52:08.73	2016-04-01 20:52:08.92	1	3	Wrong Time
189	98102254571	178	2016-04-01 20:52:08.92	2016-04-01 20:52:09.92	1	3	Wrong Time
190	98102254571	178	2016-04-01 20:52:15.60	2016-04-01 20:52:16.60	1	3	Wrong Time
191	98102254571	178	2016-04-01 20:52:17.59	2016-04-01 20:52:18.59	1	3	Wrong Time
192	98102108119	180	2016-04-01 20:53:05.43	2016-04-01 20:53:05.79	1	3	Wrong Time
193	98102108119	180	2016-04-01 20:53:05.79	2016-04-01 20:53:06.46	1	3	Wrong Time
194	98102108119	180	2016-04-01 20:53:06.46	2016-04-01 20:53:07.46	1	3	Wrong Time
195	98102108119	180	2016-04-01 20:53:08.76	2016-04-01 20:53:09.76	1	3	Wrong Time
196	98102108119	182	2016-04-01 20:53:19.20	2016-04-01 20:53:20.20	1	3	Right Time
197	98102108119	183	2016-04-01 20:53:39.26	2016-04-01 20:53:40.28	1	3	Wrong Time
198	98102108119	183	2016-04-01 20:53:41.82	2016-04-01 20:53:42.84	1	3	Wrong Time
